고객해시,첫방문일,최근방문일,방문횟수,누적결제액,식별채널
c2f748b540d,2026-06-18,2026-06-18,1,24100,배달재주문
c66eedafaf2,2025-12-30,2025-12-30,1,20100,POS회원
c9e69294de3,2025-10-17,2026-05-21,3,70500,배달재주문
cd5e3785716,2026-03-03,2026-03-03,1,23800,POS회원
c0d5dc89107,2026-04-06,2026-05-30,9,246200,POS회원
c44d8173c27,2026-02-23,2026-08-31,6,168000,멤버십
c7c5266216a,2026-05-22,2026-08-31,5,133700,배달재주문
cb3ccb573b8,2025-10-01,2026-02-15,3,68600,예약
ceb47048a40,2026-01-13,2026-01-13,1,25900,배달재주문
c22c154f970,2026-06-26,2026-06-26,1,23100,POS회원
c5a3ba37300,2026-01-16,2026-01-16,1,28900,멤버십
c91b5f2e038,2025-10-31,2025-10-31,1,25800,멤버십
cc9304124de,2026-03-24,2026-03-24,1,22900,멤버십
c00aa91e256,2025-09-13,2025-10-22,3,79900,POS회원
c3824e0052b,2025-11-17,2025-11-17,1,26700,멤버십
c6f9f2f9798,2026-05-04,2026-05-04,1,21300,배달재주문
ca7197edac6,2025-09-08,2025-09-08,1,28400,POS회원
cde93cd57d6,2026-06-18,2026-06-18,1,22900,배달재주문
c160e1dd89d,2025-10-13,2026-03-29,6,118500,배달재주문
c4d886c758c,2026-07-24,2026-07-24,1,22800,예약
c8502bbb919,2026-04-14,2026-04-14,1,28700,배달재주문
cbc7d0a2868,2026-04-24,2026-04-24,1,23800,예약
cf3f759b090,2026-07-04,2026-07-04,1,22700,멤버십
c2b71a9b437,2025-10-15,2025-10-15,1,21100,멤버십
c62ebf87abf,2026-07-20,2026-08-31,2,50200,배달재주문
c9a6647e194,2026-04-02,2026-04-02,1,19200,POS회원
cd1e096d5de,2026-04-27,2026-04-27,1,24500,멤버십
c095ae623f7,2026-07-20,2026-07-20,1,25000,멤버십
c40d5356936,2026-03-08,2026-03-08,1,19200,POS회원
c784f84bab5,2025-09-04,2025-09-04,1,21600,배달재주문
cafc9d3fad4,2025-09-25,2025-09-25,1,20500,예약
ce74422f5c2,2026-04-30,2026-05-11,8,172000,예약
c1ebe7229a5,2025-11-09,2025-11-09,1,27200,예약
c5638c1b28e,2025-09-10,2025-09-10,1,22300,예약
c8db310263d,2026-03-04,2026-03-04,1,20200,배달재주문
cc52d5f204f,2025-09-23,2026-06-05,3,68200,예약
cfca7ae6d88,2026-01-14,2026-01-14,1,22900,예약
c3421fe4d1f,2025-12-15,2025-12-15,1,27400,배달재주문
c6b9c4d94a8,2025-11-17,2025-11-17,1,28300,예약
ca3169c08c5,2026-01-13,2026-03-28,7,142600,배달재주문
cda90eb841f,2026-03-17,2026-07-17,6,142200,예약
c120b3bde4e,2026-04-13,2026-04-13,1,27200,멤버십
c49858aee07,2026-02-28,2026-02-28,1,27300,배달재주문
c80ffd93d1b,2026-01-20,2026-01-20,1,21600,배달재주문
cb87a28f7fc,2025-10-05,2025-10-05,1,25700,예약
ceff4770627,2025-09-25,2025-09-25,1,21800,배달재주문
c276ec7fa3c,2025-10-08,2025-10-08,1,21200,예약
c5ee9164ed0,2026-06-04,2026-06-04,1,23600,멤버십
c9663658e82,2026-03-12,2026-03-12,1,19500,예약
ccdddb4caf2,2026-02-15,2026-08-31,8,227500,예약
c055804b31b,2025-09-10,2025-09-10,1,22500,예약
c3cd2532c58,2025-10-01,2025-10-01,1,23400,예약
c744ca257f4,2026-01-18,2026-08-31,5,142300,멤버십
cabc6f10d22,2026-03-27,2026-03-27,1,23100,POS회원
ce341406c2c,2025-09-01,2025-09-01,1,21100,멤버십
c1abb90e159,2026-05-12,2026-07-02,8,155700,배달재주문
c5235df4335,2026-04-26,2026-04-26,1,20500,배달재주문
c89b02eca26,2025-10-18,2025-10-18,1,23300,POS회원
cc12a7db756,2025-12-01,2025-12-01,1,20900,예약
cf8a4cc4cb9,2026-06-04,2026-06-04,1,27900,배달재주문
c301f1cbf9e,2025-12-11,2025-12-11,1,25800,멤버십
c67996b3654,2026-06-09,2026-06-09,1,20600,예약
c9f13bac2b8,2026-06-25,2026-06-25,1,19200,예약
cd68e09422e,2026-05-29,2026-08-31,2,46900,POS회원
c0e085907a6,2026-02-14,2026-03-05,8,183800,멤버십
c4582a89c4f,2026-05-26,2026-05-26,1,28900,POS회원
c7cfcf766c9,2026-01-13,2026-08-23,7,195200,멤버십
cb477464ca8,2026-03-02,2026-03-04,3,69500,예약
cebf195b979,2026-03-18,2026-03-18,1,23000,멤버십
c236be5210e,2025-10-18,2025-10-18,1,21500,예약
c5ae6345ba8,2025-09-16,2025-09-16,1,20800,POS회원
c9260837748,2026-04-03,2026-04-03,1,23000,배달재주문
cc9dad26752,2026-03-28,2026-08-31,8,221900,배달재주문
c015522fa3f,2025-10-16,2025-10-16,1,22000,예약
c38cf7162e2,2025-11-09,2025-11-09,1,24100,예약
c7049c03ceb,2026-05-14,2026-08-22,8,188100,POS회원
ca7c40f9a95,2025-09-09,2025-09-09,1,19000,POS회원
cdf3e5ef994,2026-04-15,2026-04-15,1,22400,멤버십
c16b8ae45ec,2025-10-19,2026-01-26,7,158600,배달재주문
c4e32fdf64e,2026-07-20,2026-07-20,1,21800,멤버십
c85ad4c1f6d,2026-04-26,2026-07-30,6,122300,POS회원
cbd279b5a61,2026-05-09,2026-05-09,1,28900,POS회원
cf4a1eabdc3,2025-11-12,2026-06-30,5,105400,배달재주문
c2c1c3ae49b,2026-02-02,2026-02-02,1,27500,예약
c6396896ac0,2025-09-27,2025-09-27,1,28800,예약
c9b10d82c2c,2025-10-06,2025-12-08,5,117500,POS회원
cd28b273c93,2026-06-15,2026-06-15,1,22000,배달재주문
c0a0577c5ea,2025-11-24,2025-11-24,1,22200,멤버십
c417fc61be5,2026-07-02,2026-08-31,3,70500,배달재주문
c78fa1527f1,2026-06-19,2026-06-19,1,22600,멤버십
cb07464897f,2026-04-22,2026-04-22,1,25600,배달재주문
ce7eeb3d1b1,2025-09-04,2026-02-16,3,60700,예약
c1f6903dbd4,2026-05-05,2026-05-05,1,22100,예약
c56e3526972,2025-10-18,2025-10-18,1,23000,예약
c8e5da10431,2025-09-28,2025-09-28,1,25400,POS회원
cc5d7f07591,2026-02-05,2026-02-05,1,20800,예약
cfd523f8537,2026-04-27,2026-04-27,1,23800,예약
c34cc8f7b14,2026-03-18,2026-08-31,4,80600,멤버십
c6c46de3887,2026-01-27,2026-08-31,8,155400,배달재주문
ca3c12dceca,2026-03-07,2026-03-07,1,26400,예약
cdb3b7ccedf,2026-06-21,2026-06-21,1,22900,멤버십
c12b5cc306a,2026-02-13,2026-02-13,1,23600,배달재주문
c4a301bde44,2025-09-23,2025-09-23,1,23400,배달재주문
c81aa6a05ac,2025-12-12,2025-12-12,1,26500,배달재주문
cb924b9fe6e,2025-12-12,2025-12-12,1,28000,POS회원
cf09f0840bc,2025-11-05,2025-11-05,1,27500,배달재주문
c281958fca2,2025-11-22,2025-11-22,1,20200,배달재주문
c5f93a7b742,2026-02-05,2026-02-05,1,19500,멤버십
c970df6db03,2026-07-03,2026-07-03,1,25300,예약
cce8845fc01,2025-10-11,2025-10-11,1,24400,예약
c060295c326,2025-12-05,2025-12-05,1,26800,배달재주문
c3d7ce40626,2026-03-16,2026-03-16,1,26600,배달재주문
c74f733b75c,2025-09-11,2025-09-11,1,23900,멤버십
cac71822f07,2026-06-29,2026-08-31,5,126000,예약
ce3ebd16762,2026-03-02,2026-03-02,1,20700,멤버십
c1b66219935,2025-09-25,2026-03-20,4,105800,예약
c52e070d6c4,2026-07-27,2026-07-27,1,19600,POS회원
c8a5abfce65,2025-12-08,2025-12-08,1,23200,배달재주문
cc1d50ee664,2025-12-21,2025-12-21,1,28700,POS회원
cf94f5d32ff,2026-06-20,2026-06-20,1,26700,POS회원
c30c9ad2a56,2026-06-01,2026-08-31,2,44500,POS회원
c6843fc3599,2026-02-09,2026-02-09,1,19400,예약
c9fbe4b30bb,2026-03-16,2026-05-09,7,190400,POS회원
cd7389a5e16,2026-04-11,2026-04-11,1,20700,예약
c0eb2eaf3f0,2026-04-14,2026-04-14,1,28700,배달재주문
c462d3991c4,2025-10-16,2026-01-24,6,164900,배달재주문
c7da788f910,2026-05-04,2026-05-04,1,19100,예약
cb521d7ed6d,2026-03-14,2026-03-14,1,19600,배달재주문
cec9c264dc0,2026-03-08,2026-08-31,8,181100,배달재주문
c241676af0e,2026-05-05,2026-05-05,1,28100,POS회원
c5b90c588b9,2025-12-29,2026-02-18,7,165700,예약
c930b149a16,2026-04-26,2026-04-26,1,28400,POS회원
cca85631b95,2026-04-21,2026-08-31,4,108000,배달재주문
c01ffb3db0b,2026-02-17,2026-02-17,1,19800,멤버십
c397a028f18,2025-09-23,2026-02-15,7,147400,멤버십
c70f4510379,2025-09-09,2026-05-11,6,155000,배달재주문
ca86ea012ef,2026-04-04,2026-04-04,1,25700,POS회원
cdfe8ef523d,2026-07-09,2026-07-09,1,21200,멤버십
c17633fd42a,2025-12-29,2026-05-25,8,194800,배달재주문
c4edd8eea25,2025-12-05,2026-08-31,2,38900,POS회원
c8657dd9edb,2025-09-07,2026-05-30,6,127100,예약
cbdd22c4432,2025-12-11,2026-04-10,4,78900,멤버십
cf54c7b4ba2,2026-03-14,2026-08-31,7,177200,POS회원
c2cc6cbaaba,2026-06-25,2026-06-25,1,23300,POS회원
c64411a592b,2025-11-11,2025-11-11,1,19500,예약
c9bbb6999b6,2026-05-21,2026-05-21,1,22600,멤버십
cd335b8f327,2025-10-13,2025-10-13,1,25600,배달재주문
c0ab0085242,2025-10-24,2026-03-18,4,99200,배달재주문
c422a5791eb,2026-06-09,2026-06-09,1,26800,멤버십
c79a4a67ca8,2026-01-02,2026-02-16,6,172600,멤버십
cb11ef50531,2026-03-26,2026-08-31,5,130800,예약
ce899441936,2026-05-25,2026-05-25,1,25100,멤버십
c2013943889,2026-06-12,2026-06-12,1,21900,배달재주문
c578de3b4d7,2026-01-23,2026-03-18,2,49700,배달재주문
c8f083277c2,2026-07-08,2026-07-08,1,21800,배달재주문
cc68281da35,2026-04-29,2026-08-14,6,122100,예약
cfdfcd0f742,2026-03-28,2026-03-28,1,20900,배달재주문
c357720ddb0,2025-09-30,2025-09-30,1,19100,POS회원
c6cf16fe0d3,2025-11-02,2025-11-02,1,19200,예약
ca46bbed6b6,2025-12-05,2025-12-05,1,26900,예약
cdbe60da957,2026-02-06,2026-07-24,3,62500,POS회원
c13605dd392,2026-04-30,2026-04-30,1,27200,POS회원
c4adaacdea6,2026-05-01,2026-08-31,7,163100,예약
c8254fb55b0,2026-01-04,2026-01-04,1,25100,배달재주문
cb9cf4a0114,2026-03-15,2026-03-15,1,20100,멤버십
cf14999d2a2,2025-10-21,2025-10-21,1,29000,배달재주문
c28c3e90871,2025-11-07,2026-08-20,3,80500,배달재주문
c603e382c05,2025-09-17,2025-11-23,8,192300,예약
c97b8870295,2026-04-24,2026-08-31,2,41500,POS회원
ccf32d69ada,2025-12-04,2026-04-27,3,75100,POS회원
c06ad26e094,2026-05-11,2026-05-11,1,23700,멤버십
c3e27751e03,2026-04-30,2026-04-30,1,19700,POS회원
c75a1c46ed6,2026-01-27,2026-01-27,1,26300,배달재주문
cad1c138e9b,2025-12-21,2025-12-21,1,23200,예약
ce496621625,2026-07-22,2026-07-22,1,19800,POS회원
c1c10b290c4,2025-12-27,2025-12-27,3,64000,예약
c538b017302,2025-12-14,2025-12-14,1,28900,배달재주문
c8b0550fa51,2025-10-31,2025-10-31,1,25300,예약
cc27f9f03ad,2026-02-28,2026-02-28,1,27700,배달재주문
cf9f9eecb13,2025-11-08,2025-11-08,1,28500,POS회원
c31743e836e,2026-05-21,2026-05-21,1,19200,배달재주문
c68ee8dbf94,2025-10-21,2025-10-21,1,20700,배달재주문
ca068dc22c1,2026-06-29,2026-08-31,5,127100,배달재주문
cd7e32b914a,2026-03-11,2026-08-31,6,140800,배달재주문
c0f5d7b7ea3,2025-10-18,2026-01-02,6,165600,배달재주문
c46d7ca2dd3,2025-12-06,2025-12-06,1,22500,예약
c7e52197428,2026-04-13,2026-08-20,8,169500,배달재주문
cb5cc68fcc8,2026-03-06,2026-03-23,7,160400,예약
ced46b7362b,2026-02-17,2026-02-17,1,25300,POS회원
c24c107bbc3,2026-01-03,2026-01-03,1,22300,멤버십
c5c3b5662c6,2025-12-19,2025-12-19,1,20700,멤버십
c93b5a5a3a4,2026-04-20,2026-06-16,3,86300,멤버십
ccb2ff4d1f3,2026-02-16,2026-04-01,6,150600,POS회원
c02aa44e723,2025-10-20,2025-10-20,1,20200,멤버십
c3a24939f5b,2026-07-02,2026-07-02,1,27100,멤버십
c719ee2606f,2026-03-12,2026-03-12,1,23800,배달재주문
ca91931bbe2,2026-07-17,2026-08-31,7,163000,예약
ce09380eb5f,2026-06-30,2026-06-30,1,23000,예약
c180dd045a3,2026-03-03,2026-08-31,4,83900,POS회원
c4f881f3971,2025-12-10,2025-12-10,1,24000,멤버십
c87026e9d9f,2025-09-27,2025-09-27,1,27300,POS회원
cbe7cbde27f,2025-11-23,2025-11-23,1,23200,배달재주문
cf5f70cdf53,2026-03-05,2026-08-31,7,165800,POS회원
c2d715cde4a,2025-11-01,2025-11-01,1,22700,POS회원
c64ebab4362,2026-07-22,2026-07-22,1,28100,배달재주문
c9c65fafa2f,2025-09-07,2025-09-07,1,20900,POS회원
cd3e049effb,2026-01-21,2026-08-31,3,73500,배달재주문
c0b5a9959f8,2026-04-05,2026-04-05,1,19100,예약
c42d4e88427,2025-09-24,2025-09-24,1,27100,POS회원
c7a4f37ad7f,2025-10-23,2025-10-23,1,20300,배달재주문
cb1c9868329,2026-03-15,2026-08-20,6,149400,멤버십
ce943d53d2a,2026-06-22,2026-06-22,1,23300,POS회원
c20be256ad5,2025-09-08,2025-09-08,1,19900,배달재주문
c583874e109,2026-02-08,2026-08-31,6,131900,POS회원
c8fb2c3a938,2026-05-03,2026-05-03,1,23600,POS회원
cc72d125956,2025-09-19,2025-09-19,1,28600,POS회원
cfea7614d87,2026-03-04,2026-06-25,8,212700,POS회원
c3621b1de0a,2025-12-04,2025-12-04,1,24800,POS회원
c6d9c001e88,2026-01-31,2026-05-21,8,182300,POS회원
ca5164ff042,2026-01-28,2026-08-31,8,198800,예약
cdc909e48c3,2026-06-25,2026-08-31,6,128300,멤버십
c140aee7d79,2026-01-28,2026-01-28,1,28800,멤버십
c4b853ddebc,2026-07-20,2026-08-31,8,170100,예약
c82ff8c2b47,2025-11-29,2025-11-29,1,25900,배달재주문
cba79db6739,2026-04-11,2026-04-11,1,19500,배달재주문
cf1f42a349e,2026-07-03,2026-07-03,1,22300,예약
c296e7ad9ae,2026-04-24,2026-04-24,1,25500,배달재주문
c60e8c9ffe3,2026-02-19,2026-02-19,1,27600,배달재주문
c986318ebe4,2025-10-24,2025-10-24,1,19100,멤버십
ccfdd6758a5,2025-12-08,2026-08-11,6,117400,POS회원
c0757b7a1fe,2025-10-09,2026-05-23,6,145800,멤버십
c3ed2062510,2025-10-02,2025-10-02,1,27900,예약
c764c55f255,2025-10-31,2025-10-31,1,23600,배달재주문
cadc6a4cacd,2025-09-30,2025-09-30,1,25000,예약
ce540f373f7,2026-03-17,2026-03-17,1,19800,멤버십
c1cbb431080,2025-12-13,2025-12-13,1,27600,예약
c5435923959,2026-04-02,2026-06-12,5,96200,배달재주문
c8bafe114d7,2026-01-25,2026-01-25,1,26500,POS회원
cc32a301ae3,2026-05-19,2026-05-19,1,28200,배달재주문
cfaa47fd585,2025-12-31,2025-12-31,1,19400,멤버십
c321ecf04ad,2025-10-05,2026-06-19,7,158200,배달재주문
c69991e7ea6,2025-09-04,2025-09-04,1,25800,배달재주문
ca1136dc006,2025-09-26,2025-09-26,1,23700,POS회원
cd88dbc3f6a,2026-07-06,2026-07-06,1,25300,배달재주문
c10080c9966,2026-05-08,2026-05-08,1,22000,POS회원
c47825bc711,2025-11-25,2025-11-25,1,27600,예약
c7efcaa2ce1,2026-05-30,2026-05-30,1,25800,배달재주문
cb676f939cf,2026-07-05,2026-08-10,6,160800,배달재주문
cedf148a810,2025-12-12,2025-12-12,1,21300,배달재주문
c256b983618,2025-12-23,2026-07-01,5,117800,POS회원
c5ce5e7d68f,2026-02-28,2026-04-13,5,102300,배달재주문
c946036b83e,2026-07-11,2026-07-11,1,20200,멤버십
ccbda859140,2026-05-19,2026-05-19,1,24400,배달재주문
c0354d5c468,2025-12-08,2025-12-08,1,23500,멤버십
c3acf24d54c,2026-03-17,2026-03-17,1,26400,멤버십
c724973ffbd,2026-01-14,2026-02-18,5,103000,POS회원
ca9c3c21976,2025-11-04,2025-11-04,1,26200,배달재주문
ce13e113ec2,2025-10-24,2025-10-24,1,20900,POS회원
c18b8615ab1,2026-04-13,2026-08-31,9,231100,POS회원
c5032b0bb05,2026-02-09,2026-02-09,1,21900,배달재주문
c87acffd1ae,2026-05-25,2026-05-25,1,28400,예약
cbf274e5183,2026-04-19,2026-04-19,1,24300,POS회원
cf6a19d1f30,2026-06-15,2026-06-15,1,28900,배달재주문
c2e1bed3629,2026-04-17,2026-04-17,1,24700,예약
c65963c0a90,2025-12-03,2026-05-16,7,175700,예약
c9d108b7761,2026-07-02,2026-07-02,1,26600,POS회원
cd48adaf757,2025-11-04,2025-11-04,1,26300,예약
c0c052add97,2026-01-31,2026-01-31,1,26200,예약
c437f795446,2026-05-10,2026-05-10,1,23800,예약
c7af9c83dac,2025-10-20,2025-10-20,1,28700,예약
cb27417deaa,2026-03-13,2026-08-31,7,153200,POS회원
ce9ee6642b0,2026-05-19,2026-07-27,5,141000,배달재주문
c2168b652d0,2026-01-05,2026-08-31,6,154500,멤버십
c58e3053ba3,2025-12-22,2025-12-22,1,20800,멤버십
c905d5467dd,2025-11-01,2026-08-14,7,150300,배달재주문
cc7d7a3dc31,2025-12-22,2025-12-22,1,20300,예약
cff51f27f86,2025-09-04,2025-09-04,1,23800,멤버십
c36cc424d87,2026-04-14,2026-04-26,8,228500,배달재주문
c6e4691f462,2026-01-29,2026-01-29,1,24400,멤버십
ca5c0e094b2,2026-03-06,2026-03-06,1,24000,POS회원
cdd3b2f92ad,2026-01-03,2026-02-28,8,159000,예약
c14b57f3936,2025-09-07,2025-09-07,1,21700,배달재주문
c4c2fce2aa2,2026-07-20,2026-08-31,3,58800,멤버십
c83aa1d317f,2026-04-14,2026-04-14,1,20600,멤버십
cbb246cad36,2026-05-01,2026-05-01,1,21600,예약
cf29ebb50e9,2026-01-06,2026-01-06,1,23000,예약
c2a190b5516,2026-01-31,2026-08-30,4,98400,POS회원
c61935a56a2,2026-04-27,2026-08-31,4,115000,예약
c990da92263,2025-10-02,2026-07-24,5,130100,배달재주문
cd087f84db9,2026-07-02,2026-07-02,1,20300,예약
c080248699d,2025-09-15,2025-09-15,1,25900,예약
c3f7c97eb7d,2026-02-17,2026-02-17,1,25600,배달재주문
c76f6e6485f,2026-03-30,2026-03-30,1,23900,POS회원
cae713528eb,2025-11-01,2025-11-01,1,23400,POS회원
ce5eb840c1b,2025-11-02,2025-11-02,1,20700,배달재주문
c1d65d47606,2026-06-23,2026-06-23,1,28900,배달재주문
c54e0233f46,2026-01-09,2026-01-09,1,21100,POS회원
c8c5a72ad80,2026-06-19,2026-08-31,6,115300,POS회원
cc3d4c1002f,2026-04-12,2026-04-12,1,20400,예약
cfb4f108447,2026-02-09,2026-04-16,2,45800,POS회원
c32c96013c3,2026-01-01,2026-02-25,8,212400,POS회원
c6a43afc1b7,2026-02-08,2026-02-08,1,26400,배달재주문
ca1bdfee67a,2026-01-25,2026-01-25,1,24400,예약
cd9384d177e,2026-05-05,2026-05-05,1,20800,POS회원
c10b29d4363,2026-04-23,2026-04-23,1,24700,예약
c482cecd6f1,2025-10-08,2026-02-09,8,199200,배달재주문
c7fa73b34ae,2025-12-04,2025-12-04,1,21500,예약
cb7218a62c2,2025-11-13,2026-06-21,7,160600,POS회원
cee9bd9fdb4,2026-03-02,2026-08-25,2,43900,예약
c26162900cc,2025-12-18,2026-07-22,5,128900,POS회원
c5d907842c6,2025-10-21,2025-10-21,1,26200,POS회원
c950ac7bb1d,2026-03-04,2026-08-31,3,82500,예약
ccc85163181,2026-07-15,2026-07-15,1,23000,예약
c03ff66283d,2026-04-22,2026-04-22,1,25700,멤버십
c3b79b59998,2025-09-14,2026-01-01,5,118200,예약
c72f4048232,2025-10-19,2025-10-19,1,20400,예약
caa6e53ade1,2026-04-08,2026-08-31,3,73700,POS회원
ce1e8a23a51,2026-05-17,2026-05-17,1,28700,멤버십
c1962f2c127,2026-03-23,2026-03-23,1,28600,멤버십
c50dd41fe68,2025-10-12,2025-12-25,8,206300,멤버십
c885790a84c,2026-02-12,2026-02-12,1,21300,예약
cbfd1df1308,2025-11-18,2025-11-18,1,28700,예약
cf74c2e74bf,2026-01-06,2026-01-06,1,25600,POS회원
c2ec67eac27,2026-02-13,2026-08-31,8,200100,POS회원
c6640cda34a,2026-07-11,2026-08-31,7,180100,예약
c9dbb1c46b0,2026-01-27,2026-01-27,1,25200,배달재주문
cd5356b0bbc,2025-09-01,2025-09-01,1,21200,배달재주문
c0cafbb5df2,2026-07-15,2026-07-15,1,19800,POS회원
c442a0a01fd,2025-12-11,2026-08-13,2,48700,POS회원
c7ba459cef5,2025-11-25,2025-11-25,1,28300,POS회원
cb31ea80165,2025-11-01,2026-02-11,8,154200,POS회원
cea98f774b9,2026-02-01,2026-02-01,1,21300,POS회원
c221347969a,2025-10-15,2026-06-11,8,224100,멤버십
c598d96a67b,2026-04-09,2026-07-06,5,105100,배달재주문
c9107e50b3e,2026-06-12,2026-08-31,6,115700,멤버십
cc8823413a3,2026-01-30,2026-05-09,6,142400,예약
cfffc836951,2025-10-17,2025-10-17,1,20100,배달재주문
c3776d39f29,2026-06-21,2026-06-21,1,24500,예약
c6ef122ec69,2026-06-29,2026-06-29,1,20000,배달재주문
ca66b71d1c0,2026-06-06,2026-08-31,5,123200,POS회원
cdde5c0002e,2025-09-02,2025-09-02,1,26700,멤버십
c15601071f0,2026-02-06,2026-05-26,4,114900,예약
c4cda5f47bc,2026-03-13,2026-03-13,1,26400,예약
c8454aedca8,2026-03-21,2026-03-21,1,25800,배달재주문
cbbcefdf7e2,2026-01-11,2026-06-13,4,106600,예약
cf3494cd25e,2026-04-24,2026-04-24,1,21300,배달재주문
c2ac39c7f3d,2026-01-12,2026-06-24,4,77000,POS회원
c623debeae1,2026-06-23,2026-06-23,1,28700,POS회원
c99b83aeebb,2025-11-04,2025-11-04,1,28300,예약
cd13289efd2,2026-03-21,2026-03-21,1,24800,예약
c08acd9597d,2026-06-30,2026-06-30,1,23100,배달재주문
c4027282f75,2025-12-05,2025-12-05,1,24100,배달재주문
c77a177be11,2026-07-14,2026-07-14,1,19200,POS회원
caf1bc623c2,2026-07-11,2026-07-11,1,22000,멤버십
ce696150032,2026-04-10,2026-04-10,1,28900,POS회원
c1e1065764c,2025-12-14,2026-07-01,3,82800,멤버십
c558ab4a40a,2026-01-05,2026-02-23,3,85800,배달재주문
c8d0503bc1b,2025-12-19,2025-12-22,9,231100,멤버십
cc47f52d49d,2026-02-12,2026-02-12,1,28900,멤버십
cfbf9a18cef,2026-03-18,2026-03-18,1,24700,예약
c3373f1f8a9,2025-11-30,2025-11-30,1,27700,배달재주문
c6aee40afeb,2026-02-11,2026-02-23,3,86800,멤버십
ca2688f012e,2025-09-18,2025-09-18,1,22300,POS회원
cd9e2de0a40,2026-06-16,2026-08-31,3,68500,POS회원
c115d2e4b9b,2026-01-18,2026-01-18,1,19200,멤버십
c48d77d69d2,2025-12-22,2025-12-22,1,20800,배달재주문
c8051cc4afc,2026-07-26,2026-07-26,1,24700,예약
cb7cc1bd3c9,2026-01-21,2026-01-21,1,22700,배달재주문
cef466adf4c,2026-02-20,2026-02-20,1,23200,예약
c26c0ba2f56,2025-09-13,2025-09-13,1,21300,멤버십
c5e3b096935,2026-03-06,2026-03-06,1,22300,멤버십
c95b5584d13,2025-11-18,2025-11-18,1,26300,멤버십
ccd2fa707a2,2026-04-13,2026-08-31,4,107700,POS회원
c04a9f7c830,2026-05-29,2026-08-31,6,156000,배달재주문
c3c244694db,2026-05-11,2026-05-11,1,28800,POS회원
c739e954cfa,2026-06-20,2026-08-31,4,110400,멤버십
cab18e47acf,2025-10-08,2025-10-08,1,23400,멤버십
ce2933385df,2026-04-07,2026-04-07,1,26600,배달재주문
c1a0d834983,2025-12-25,2026-07-12,8,169000,멤버십
c5187d2d98f,2026-01-09,2026-01-09,1,21600,멤버십
c8902210edd,2026-03-08,2026-08-25,6,125100,예약
cc07c7050ca,2026-05-13,2026-08-31,7,135800,배달재주문
