주문일,플랫폼,주문건수,주문금액,수수료,취소금액,재주문건수,평균평점
2025-10-12,배달의민족,3,78000,10530,0,1,4.8
2025-10-12,쿠팡이츠,1,31900,4310,0,0,4.8
2025-10-14,배달의민족,3,65800,8880,0,1,4.6
2025-10-14,쿠팡이츠,1,23700,3200,0,0,4.8
2025-10-15,배달의민족,5,110900,14970,0,2,4.9
2025-10-15,쿠팡이츠,2,42700,5760,0,1,4.8
2025-10-16,배달의민족,3,82100,11080,0,1,4.8
2025-10-16,쿠팡이츠,1,33100,4470,0,0,4.7
2025-10-17,배달의민족,6,152500,20590,0,2,4.7
2025-10-17,쿠팡이츠,2,50800,6860,0,1,4.6
2025-10-18,배달의민족,3,82700,11160,0,1,4.7
2025-10-18,쿠팡이츠,1,34400,4640,0,0,4.8
2025-10-19,배달의민족,5,110200,14880,0,2,4.9
2025-10-19,쿠팡이츠,2,50500,6820,0,1,4.6
2025-10-20,배달의민족,3,70400,9500,0,1,4.7
2025-10-20,쿠팡이츠,1,29800,4020,0,0,4.8
2025-10-21,배달의민족,3,67900,9170,0,1,4.5
2025-10-21,쿠팡이츠,1,27100,3660,0,0,4.8
2025-10-22,배달의민족,4,87800,11850,0,1,4.7
2025-10-22,쿠팡이츠,2,42500,5740,1700,1,4.9
2025-10-23,배달의민족,5,111500,15050,0,2,4.5
2025-10-23,쿠팡이츠,2,47100,6360,0,1,4.5
2025-10-24,배달의민족,5,111800,15090,4500,2,4.8
2025-10-24,쿠팡이츠,2,38700,5220,0,1,4.6
2025-10-25,배달의민족,3,82500,11140,0,1,4.7
2025-10-25,쿠팡이츠,1,33300,4500,0,0,4.7
2025-10-26,배달의민족,3,75000,10130,0,1,4.5
2025-10-26,쿠팡이츠,2,37200,5020,0,1,4.8
2025-10-28,배달의민족,3,82400,11120,3300,1,4.8
2025-10-28,쿠팡이츠,2,38000,5130,0,1,4.5
2025-10-29,배달의민족,4,91800,12390,0,2,4.5
2025-10-29,쿠팡이츠,1,27700,3740,0,0,4.7
2025-10-30,배달의민족,5,113400,15310,0,2,4.7
2025-10-30,쿠팡이츠,2,50100,6760,2000,1,4.5
2025-10-31,배달의민족,5,112200,15150,0,2,4.6
2025-10-31,쿠팡이츠,2,38000,5130,0,1,4.6
2025-11-01,배달의민족,5,131200,17710,0,2,4.8
2025-11-01,쿠팡이츠,2,41200,5560,0,1,4.7
2025-11-02,배달의민족,3,64200,8670,0,1,4.6
2025-11-02,쿠팡이츠,1,24300,3280,0,0,4.7
2025-11-03,배달의민족,3,79100,10680,0,1,4.9
2025-11-03,쿠팡이츠,2,44100,5950,1800,1,4.9
2025-11-04,배달의민족,3,80000,10800,0,1,4.8
2025-11-04,쿠팡이츠,1,33300,4500,0,0,4.7
2025-11-05,배달의민족,3,73300,9900,0,1,4.8
2025-11-05,쿠팡이츠,2,39100,5280,0,1,4.6
2025-11-06,배달의민족,4,103400,13960,0,1,4.6
2025-11-06,쿠팡이츠,2,55300,7470,0,1,4.7
2025-11-07,배달의민족,6,142700,19260,5700,2,4.7
2025-11-07,쿠팡이츠,3,65800,8880,2600,1,4.8
2025-11-08,배달의민족,3,80000,10800,0,1,4.5
2025-11-08,쿠팡이츠,1,31300,4230,0,0,4.6
2025-11-09,배달의민족,3,64900,8760,0,1,4.6
2025-11-09,쿠팡이츠,1,25300,3420,0,0,4.7
2025-11-11,배달의민족,4,85200,11500,0,1,4.8
2025-11-11,쿠팡이츠,1,35400,4780,0,0,4.6
2025-11-12,배달의민족,3,82300,11110,0,1,4.8
2025-11-12,쿠팡이츠,1,29200,3940,0,0,4.8
2025-11-13,배달의민족,5,117000,15800,0,2,4.8
2025-11-13,쿠팡이츠,2,46800,6320,0,1,4.6
2025-11-14,배달의민족,5,120200,16230,0,2,4.6
2025-11-14,쿠팡이츠,2,46500,6280,0,1,4.9
2025-11-15,배달의민족,3,83200,11230,0,1,4.5
2025-11-15,쿠팡이츠,2,39900,5390,0,1,4.5
2025-11-16,배달의민족,3,72900,9840,0,1,4.7
2025-11-16,쿠팡이츠,1,26700,3600,0,0,4.6
2025-11-17,배달의민족,3,75100,10140,0,1,4.7
2025-11-17,쿠팡이츠,1,33700,4550,0,0,4.9
2025-11-18,배달의민족,3,73400,9910,0,1,4.6
2025-11-18,쿠팡이츠,1,29700,4010,0,0,4.9
2025-11-19,배달의민족,3,68200,9210,0,1,4.6
2025-11-19,쿠팡이츠,1,33100,4470,0,0,4.6
2025-11-20,배달의민족,5,114400,15440,0,2,4.8
2025-11-20,쿠팡이츠,2,48700,6570,0,1,4.8
2025-11-21,배달의민족,5,109700,14810,0,2,4.8
2025-11-21,쿠팡이츠,2,42000,5670,0,1,4.9
2025-11-22,배달의민족,4,101900,13760,0,2,4.7
2025-11-22,쿠팡이츠,2,38900,5250,0,1,4.8
2025-11-23,배달의민족,4,96000,12960,0,1,4.8
2025-11-23,쿠팡이츠,2,49100,6630,0,1,4.7
2025-11-25,배달의민족,4,91200,12310,0,1,4.6
2025-11-25,쿠팡이츠,1,30800,4160,0,0,4.8
2025-11-26,배달의민족,4,100500,13570,0,2,4.7
2025-11-26,쿠팡이츠,2,43500,5870,0,1,4.5
2025-11-27,배달의민족,4,101600,13720,0,2,4.8
2025-11-27,쿠팡이츠,2,46500,6280,1900,1,4.5
2025-11-28,배달의민족,4,98700,13320,0,1,4.8
2025-11-28,쿠팡이츠,2,51200,6910,0,1,4.7
2025-11-29,배달의민족,4,102200,13800,0,1,4.7
2025-11-29,쿠팡이츠,2,48300,6520,0,1,4.8
2025-11-30,배달의민족,3,83900,11330,0,1,4.6
2025-11-30,쿠팡이츠,2,43200,5830,0,1,4.7
2025-12-01,배달의민족,4,88200,11910,0,1,4.6
2025-12-01,쿠팡이츠,1,34700,4680,0,0,4.8
2025-12-02,배달의민족,4,101700,13730,0,1,4.7
2025-12-02,쿠팡이츠,2,41100,5550,0,1,4.8
2025-12-03,배달의민족,4,87800,11850,0,2,4.8
2025-12-03,쿠팡이츠,2,45700,6170,0,1,4.6
2025-12-04,배달의민족,4,99500,13430,0,2,4.7
2025-12-04,쿠팡이츠,1,35800,4830,0,0,4.7
2025-12-05,배달의민족,5,120200,16230,4800,2,4.6
2025-12-05,쿠팡이츠,2,58100,7840,0,1,4.5
2025-12-06,배달의민족,5,114100,15400,0,2,4.8
2025-12-06,쿠팡이츠,1,34600,4670,1400,0,4.9
2025-12-07,배달의민족,3,64400,8690,0,1,4.8
2025-12-07,쿠팡이츠,1,23500,3170,0,0,4.6
2025-12-09,배달의민족,3,77000,10400,0,1,4.5
2025-12-09,쿠팡이츠,1,30700,4140,0,0,4.8
2025-12-10,배달의민족,4,105900,14300,4200,1,4.6
2025-12-10,쿠팡이츠,2,36200,4890,0,1,4.8
2025-12-11,배달의민족,3,79400,10720,0,1,4.9
2025-12-11,쿠팡이츠,2,43700,5900,0,1,4.8
2025-12-12,배달의민족,5,112200,15150,0,2,4.8
2025-12-12,쿠팡이츠,2,56100,7570,0,1,4.6
2025-12-13,배달의민족,4,105400,14230,0,2,4.6
2025-12-13,쿠팡이츠,2,41000,5540,0,1,4.5
2025-12-14,배달의민족,4,91500,12350,0,1,4.7
2025-12-14,쿠팡이츠,2,36800,4970,0,1,4.5
2025-12-15,배달의민족,3,72200,9750,0,1,4.5
2025-12-15,쿠팡이츠,1,30700,4140,0,0,4.7
2025-12-16,배달의민족,3,65700,8870,0,1,4.7
2025-12-16,쿠팡이츠,1,28800,3890,0,0,4.9
2025-12-17,배달의민족,3,60600,8180,0,1,4.5
2025-12-17,쿠팡이츠,1,26700,3600,0,0,4.9
2025-12-18,배달의민족,5,115400,15580,0,2,4.6
2025-12-18,쿠팡이츠,2,43600,5890,0,1,4.8
2025-12-19,배달의민족,4,104200,14070,0,2,4.8
2025-12-19,쿠팡이츠,2,44800,6050,0,1,4.8
2025-12-20,배달의민족,4,102800,13880,0,2,4.9
2025-12-20,쿠팡이츠,3,61300,8280,0,1,4.6
2025-12-21,배달의민족,3,80700,10890,0,1,4.6
2025-12-21,쿠팡이츠,2,38000,5130,0,1,4.7
2025-12-23,배달의민족,4,85300,11520,0,1,4.7
2025-12-23,쿠팡이츠,2,46900,6330,0,1,4.8
2025-12-24,배달의민족,3,76200,10290,0,1,4.6
2025-12-24,쿠팡이츠,1,27400,3700,0,0,4.8
2025-12-25,배달의민족,4,98400,13280,0,2,4.9
2025-12-25,쿠팡이츠,2,36400,4910,0,1,4.8
2025-12-26,배달의민족,5,123500,16670,4900,2,4.6
2025-12-26,쿠팡이츠,3,63400,8560,0,1,4.8
2025-12-27,배달의민족,4,99200,13390,0,2,4.5
2025-12-27,쿠팡이츠,2,46200,6240,0,1,4.9
2025-12-28,배달의민족,3,69200,9340,0,1,4.9
2025-12-28,쿠팡이츠,2,38400,5180,0,1,4.6
2025-12-29,배달의민족,3,65500,8840,0,1,4.5
2025-12-29,쿠팡이츠,1,28600,3860,0,0,4.9
2025-12-30,배달의민족,4,106700,14400,0,2,4.9
2025-12-30,쿠팡이츠,2,38800,5240,1600,1,4.6
2025-12-31,배달의민족,4,101700,13730,0,1,4.7
2025-12-31,쿠팡이츠,2,48400,6530,0,1,4.6
2026-01-01,배달의민족,3,66300,8950,0,1,4.6
2026-01-01,쿠팡이츠,1,26200,3540,0,0,4.5
2026-01-02,배달의민족,5,112500,15190,0,2,4.6
2026-01-02,쿠팡이츠,2,40200,5430,0,1,4.6
2026-01-03,배달의민족,4,91100,12300,0,1,4.9
2026-01-03,쿠팡이츠,2,38900,5250,0,1,4.9
2026-01-04,배달의민족,3,67900,9170,0,1,4.9
2026-01-04,쿠팡이츠,1,34300,4630,0,0,4.5
2026-01-05,배달의민족,4,89500,12080,0,2,4.7
2026-01-05,쿠팡이츠,2,41700,5630,0,1,4.6
2026-01-06,배달의민족,3,77100,10410,0,1,4.6
2026-01-06,쿠팡이츠,1,35400,4780,0,0,4.6
2026-01-07,배달의민족,3,82300,11110,0,1,4.9
2026-01-07,쿠팡이츠,2,37800,5100,0,1,4.8
2026-01-08,배달의민족,4,88100,11890,0,1,4.8
2026-01-08,쿠팡이츠,1,34800,4700,1400,0,4.6
2026-01-09,배달의민족,5,131700,17780,0,2,4.6
2026-01-09,쿠팡이츠,2,47800,6450,0,1,4.5
2026-01-10,배달의민족,6,145900,19700,0,2,4.8
2026-01-10,쿠팡이츠,2,46900,6330,1900,1,4.8
2026-01-11,배달의민족,3,70000,9450,0,1,4.8
2026-01-11,쿠팡이츠,2,36700,4950,0,1,4.9
2026-01-13,배달의민족,3,71200,9610,0,1,4.7
2026-01-13,쿠팡이츠,2,36600,4940,0,1,4.6
2026-01-14,배달의민족,4,105500,14240,4200,1,4.7
2026-01-14,쿠팡이츠,1,34600,4670,0,0,4.7
2026-01-15,배달의민족,4,92800,12530,0,1,4.8
2026-01-15,쿠팡이츠,2,53900,7280,0,1,4.9
2026-01-16,배달의민족,3,75100,10140,0,1,4.7
2026-01-16,쿠팡이츠,1,30700,4140,0,0,4.6
2026-01-17,배달의민족,4,101300,13680,0,1,4.9
2026-01-17,쿠팡이츠,2,40800,5510,0,1,4.8
2026-01-18,배달의민족,4,85900,11600,0,1,4.9
2026-01-18,쿠팡이츠,2,42600,5750,0,1,4.9
2026-01-19,배달의민족,3,60700,8190,0,1,4.9
2026-01-19,쿠팡이츠,1,21500,2900,900,0,4.6
2026-01-20,배달의민족,4,96100,12970,0,1,4.9
2026-01-20,쿠팡이츠,2,48400,6530,0,1,4.6
2026-01-21,배달의민족,3,81800,11040,0,1,4.8
2026-01-21,쿠팡이츠,2,37600,5080,1500,1,4.8
2026-01-22,배달의민족,5,114500,15460,0,2,4.7
2026-01-22,쿠팡이츠,2,48500,6550,0,1,4.8
2026-01-23,배달의민족,6,137200,18520,0,3,4.5
2026-01-23,쿠팡이츠,3,63800,8610,2600,1,4.8
2026-01-24,배달의민족,4,88500,11950,0,2,4.9
2026-01-24,쿠팡이츠,2,42000,5670,1700,1,4.6
2026-01-25,배달의민족,3,76200,10290,0,1,4.7
2026-01-25,쿠팡이츠,1,32600,4400,0,0,4.9
2026-01-27,배달의민족,3,68800,9290,0,1,4.6
2026-01-27,쿠팡이츠,1,25000,3380,1000,0,4.5
2026-01-28,배달의민족,5,120800,16310,0,2,4.9
2026-01-28,쿠팡이츠,2,51600,6970,0,1,4.8
2026-01-29,배달의민족,4,107800,14550,0,1,4.8
2026-01-29,쿠팡이츠,2,48900,6600,0,1,4.9
2026-01-30,배달의민족,4,95400,12880,0,2,4.9
2026-01-30,쿠팡이츠,2,42500,5740,0,1,4.7
2026-01-31,배달의민족,5,111200,15010,0,2,4.7
2026-01-31,쿠팡이츠,3,62600,8450,0,1,4.7
2026-02-01,배달의민족,4,90400,12200,0,1,4.9
2026-02-01,쿠팡이츠,1,31900,4310,0,0,4.6
2026-02-02,배달의민족,3,64100,8650,0,1,4.7
2026-02-02,쿠팡이츠,1,33500,4520,0,0,4.6
2026-02-03,배달의민족,3,70000,9450,0,1,4.5
2026-02-03,쿠팡이츠,2,36800,4970,0,1,4.6
2026-02-04,배달의민족,4,99400,13420,4000,1,4.9
2026-02-04,쿠팡이츠,2,46200,6240,0,1,4.9
2026-02-05,배달의민족,3,83800,11310,0,1,4.7
2026-02-05,쿠팡이츠,2,46000,6210,0,1,4.6
2026-02-06,배달의민족,5,110600,14930,0,2,4.8
2026-02-06,쿠팡이츠,2,54900,7410,0,1,4.6
2026-02-07,배달의민족,5,115200,15550,0,2,4.8
2026-02-07,쿠팡이츠,3,63700,8600,2500,1,4.6
2026-02-08,배달의민족,2,58400,7880,0,1,4.6
2026-02-08,쿠팡이츠,1,27000,3650,0,0,4.6
2026-02-10,배달의민족,3,75800,10230,0,1,4.6
2026-02-10,쿠팡이츠,1,31300,4230,1300,0,4.7
2026-02-11,배달의민족,4,95200,12850,0,1,4.5
2026-02-11,쿠팡이츠,2,43400,5860,0,1,4.6
2026-02-12,배달의민족,4,94500,12760,0,2,4.9
2026-02-12,쿠팡이츠,2,36300,4900,0,1,4.5
2026-02-13,배달의민족,5,111100,15000,0,2,4.7
2026-02-13,쿠팡이츠,2,48800,6590,0,1,4.7
2026-02-14,배달의민족,5,112100,15130,0,2,4.7
2026-02-14,쿠팡이츠,2,47700,6440,0,1,4.9
2026-02-15,배달의민족,4,103500,13970,0,1,4.6
2026-02-15,쿠팡이츠,2,38500,5200,0,1,4.9
2026-02-16,배달의민족,3,73400,9910,0,1,4.8
2026-02-16,쿠팡이츠,2,41300,5580,0,1,4.5
2026-02-17,배달의민족,3,78100,10540,0,1,4.9
2026-02-17,쿠팡이츠,1,30800,4160,0,0,4.5
2026-02-18,배달의민족,4,95400,12880,3800,2,4.5
2026-02-18,쿠팡이츠,2,41600,5620,0,1,4.8
2026-02-19,배달의민족,4,103400,13960,0,2,4.6
2026-02-19,쿠팡이츠,2,38400,5180,0,1,4.6
2026-02-20,배달의민족,4,99200,13390,0,2,4.8
2026-02-20,쿠팡이츠,2,39900,5390,1600,1,4.8
2026-02-21,배달의민족,4,95300,12870,0,2,4.9
2026-02-21,쿠팡이츠,2,50300,6790,0,1,4.9
2026-02-22,배달의민족,4,93600,12640,0,2,4.8
2026-02-22,쿠팡이츠,2,38200,5160,0,1,4.8
2026-02-24,배달의민족,4,93500,12620,0,1,4.7
2026-02-24,쿠팡이츠,2,38500,5200,0,1,4.8
2026-02-25,배달의민족,4,88100,11890,0,2,4.8
2026-02-25,쿠팡이츠,2,47600,6430,0,1,4.7
2026-02-26,배달의민족,4,94400,12740,0,2,4.8
2026-02-26,쿠팡이츠,2,50400,6800,2000,1,4.8
2026-02-27,배달의민족,6,133500,18020,0,2,4.6
2026-02-27,쿠팡이츠,3,73600,9940,0,1,4.8
2026-02-28,배달의민족,4,99800,13470,0,2,4.8
2026-02-28,쿠팡이츠,2,50200,6780,0,1,4.7
2026-03-01,배달의민족,3,80700,10890,0,1,4.8
2026-03-01,쿠팡이츠,1,35200,4750,0,0,4.8
2026-03-02,배달의민족,3,81000,10940,0,1,4.8
2026-03-02,쿠팡이츠,1,31200,4210,0,0,4.6
2026-03-03,배달의민족,3,74700,10080,0,1,4.7
2026-03-03,쿠팡이츠,1,33600,4540,0,0,4.8
2026-03-04,배달의민족,4,98500,13300,0,1,4.6
2026-03-04,쿠팡이츠,2,41200,5560,0,1,4.7
2026-03-05,배달의민족,3,82000,11070,0,1,4.7
2026-03-05,쿠팡이츠,2,41600,5620,0,1,4.6
2026-03-06,배달의민족,6,143900,19430,0,2,4.7
2026-03-06,쿠팡이츠,2,57300,7740,0,1,4.6
2026-03-07,배달의민족,6,141600,19120,0,2,4.9
2026-03-07,쿠팡이츠,3,75100,10140,0,1,4.7
2026-03-08,배달의민족,3,76800,10370,0,1,4.5
2026-03-08,쿠팡이츠,2,42800,5780,0,1,4.6
2026-03-10,배달의민족,5,125300,16920,0,2,4.9
2026-03-10,쿠팡이츠,2,50600,6830,0,1,4.7
2026-03-11,배달의민족,5,110200,14880,0,2,4.6
2026-03-11,쿠팡이츠,2,38200,5160,1500,1,4.5
2026-03-12,배달의민족,3,70800,9560,0,1,4.7
2026-03-12,쿠팡이츠,1,31700,4280,0,0,4.8
2026-03-13,배달의민족,5,113400,15310,0,2,4.9
2026-03-13,쿠팡이츠,2,50500,6820,0,1,4.6
2026-03-14,배달의민족,5,114200,15420,0,2,4.8
2026-03-14,쿠팡이츠,2,38500,5200,0,1,4.5
2026-03-15,배달의민족,3,80400,10850,0,1,4.7
2026-03-15,쿠팡이츠,2,39200,5290,0,1,4.7
2026-03-16,배달의민족,3,80500,10870,0,1,4.9
2026-03-16,쿠팡이츠,2,37800,5100,0,1,4.5
2026-03-17,배달의민족,3,62900,8490,0,1,4.7
2026-03-17,쿠팡이츠,1,25000,3380,0,0,4.5
2026-03-18,배달의민족,4,88800,11990,0,1,4.6
2026-03-18,쿠팡이츠,2,38500,5200,1500,1,4.6
2026-03-19,배달의민족,4,106100,14320,0,1,4.7
2026-03-19,쿠팡이츠,2,45500,6140,0,1,4.5
2026-03-20,배달의민족,5,118900,16050,0,2,4.7
2026-03-20,쿠팡이츠,2,52400,7070,0,1,4.6
2026-03-21,배달의민족,4,98000,13230,0,1,4.8
2026-03-21,쿠팡이츠,2,36400,4910,1500,1,4.9
2026-03-22,배달의민족,2,50600,6830,0,1,4.6
2026-03-22,쿠팡이츠,1,22500,3040,0,0,4.7
2026-03-24,배달의민족,4,93300,12600,0,2,4.8
2026-03-24,쿠팡이츠,2,52900,7140,0,1,4.8
2026-03-25,배달의민족,3,67800,9150,0,1,4.5
2026-03-25,쿠팡이츠,1,30500,4120,0,0,4.5
2026-03-26,배달의민족,4,94600,12770,0,1,4.7
2026-03-26,쿠팡이츠,1,33400,4510,0,0,4.6
2026-03-27,배달의민족,4,91900,12410,3700,1,4.6
2026-03-27,쿠팡이츠,2,46300,6250,0,1,4.8
2026-03-28,배달의민족,5,112200,15150,0,2,4.8
2026-03-28,쿠팡이츠,2,43400,5860,0,1,4.8
2026-03-29,배달의민족,3,73900,9980,0,1,4.7
2026-03-29,쿠팡이츠,1,29900,4040,0,0,4.6
2026-03-30,배달의민족,3,62000,8370,0,1,4.7
2026-03-30,쿠팡이츠,1,34000,4590,0,0,4.6
2026-03-31,배달의민족,4,101400,13690,4100,1,4.7
2026-03-31,쿠팡이츠,2,51900,7010,0,1,4.6
2026-04-01,배달의민족,4,96800,13070,0,2,4.7
2026-04-01,쿠팡이츠,1,33500,4520,0,0,4.9
2026-04-02,배달의민족,4,95600,12910,0,2,4.8
2026-04-02,쿠팡이츠,2,38500,5200,0,1,4.5
2026-04-03,배달의민족,6,138400,18680,0,3,4.6
2026-04-03,쿠팡이츠,2,57200,7720,0,1,4.7
2026-04-04,배달의민족,5,114000,15390,0,2,4.6
2026-04-04,쿠팡이츠,2,37900,5120,0,1,4.9
2026-04-05,배달의민족,4,88800,11990,3600,2,4.5
2026-04-05,쿠팡이츠,1,28800,3890,0,0,4.6
2026-04-06,배달의민족,4,90300,12190,0,2,4.8
2026-04-06,쿠팡이츠,2,45500,6140,0,1,4.9
2026-04-07,배달의민족,4,95400,12880,0,2,4.6
2026-04-07,쿠팡이츠,1,29900,4040,0,0,4.8
2026-04-08,배달의민족,4,88000,11880,3500,2,4.8
2026-04-08,쿠팡이츠,1,33800,4560,0,0,4.5
2026-04-09,배달의민족,4,100500,13570,0,1,4.8
2026-04-09,쿠팡이츠,2,39700,5360,0,1,4.8
2026-04-10,배달의민족,5,126600,17090,0,2,4.7
2026-04-10,쿠팡이츠,2,59400,8020,0,1,4.6
2026-04-11,배달의민족,5,127700,17240,0,2,4.7
2026-04-11,쿠팡이츠,3,60800,8210,2400,1,4.6
2026-04-12,배달의민족,4,87700,11840,0,1,4.7
2026-04-12,쿠팡이츠,2,38400,5180,0,1,4.7
2026-04-14,배달의민족,4,89900,12140,0,1,4.6
2026-04-14,쿠팡이츠,2,37500,5060,1500,1,4.7
2026-04-15,배달의민족,4,91500,12350,0,1,4.7
2026-04-15,쿠팡이츠,2,40200,5430,0,1,4.7
2026-04-16,배달의민족,5,110500,14920,4400,2,4.5
2026-04-16,쿠팡이츠,2,49800,6720,0,1,4.6
2026-04-17,배달의민족,4,102500,13840,0,2,4.7
2026-04-17,쿠팡이츠,2,40700,5490,0,1,4.6
2026-04-18,배달의민족,5,119700,16160,0,2,4.6
2026-04-18,쿠팡이츠,2,57100,7710,0,1,4.6
2026-04-19,배달의민족,4,85200,11500,0,1,4.9
2026-04-19,쿠팡이츠,1,30100,4060,0,0,4.6
2026-04-20,배달의민족,3,66000,8910,0,1,4.5
2026-04-20,쿠팡이츠,1,27000,3650,0,0,4.9
2026-04-21,배달의민족,3,69500,9380,0,1,4.6
2026-04-21,쿠팡이츠,1,28500,3850,0,0,4.8
2026-04-22,배달의민족,4,90400,12200,0,1,4.6
2026-04-22,쿠팡이츠,2,41700,5630,0,1,4.6
2026-04-23,배달의민족,4,91600,12370,0,2,4.5
2026-04-23,쿠팡이츠,1,31800,4290,0,0,4.8
2026-04-24,배달의민족,7,173600,23440,0,2,4.6
2026-04-24,쿠팡이츠,4,84700,11430,0,1,4.8
2026-04-25,배달의민족,3,79500,10730,0,1,4.8
2026-04-25,쿠팡이츠,2,40400,5450,0,1,4.9
2026-04-26,배달의민족,3,77000,10400,0,1,4.5
2026-04-26,쿠팡이츠,1,27500,3710,0,0,4.6
2026-04-28,배달의민족,4,97700,13190,0,2,4.8
2026-04-28,쿠팡이츠,2,46600,6290,0,1,4.8
2026-04-29,배달의민족,4,97800,13200,0,2,4.6
2026-04-29,쿠팡이츠,2,40600,5480,0,1,4.6
2026-04-30,배달의민족,3,73200,9880,0,1,4.7
2026-04-30,쿠팡이츠,1,29300,3960,0,0,4.8
2026-05-01,배달의민족,5,130300,17590,0,2,4.8
2026-05-01,쿠팡이츠,3,68900,9300,0,1,4.5
2026-05-02,배달의민족,4,84900,11460,0,1,4.6
2026-05-02,쿠팡이츠,2,36800,4970,0,1,4.6
