거래일시,입금액,출금액,잔액,거래상대방,적요
2025-09-16 08:14,0,199400,11071590,망원시장 상회,식재료비
2025-09-17 09:12,323080,0,11394670,카드정산사,카드 매출 정산 입금
2025-09-17 09:41,0,210400,11184270,망원시장 상회,식재료비
2025-09-17 08:40,0,163000,11021270,한빛수산,수산물 매입
2025-09-18 09:12,663890,0,11685160,카드정산사,카드 매출 정산 입금
2025-09-18 20:40,142000,0,11827160,자동입출금기,현금 매출 입금
2025-09-18 10:27,0,156100,11671060,한빛수산,수산물 매입
2025-09-19 09:12,266930,0,11937990,카드정산사,카드 매출 정산 입금
2025-09-19 08:38,0,162800,11775190,망원시장 상회,식재료비
2025-09-19 10:24,0,164400,11610790,한빛수산,수산물 매입
2025-09-19 08:56,0,128200,11482590,우리쌀도정,곡물 매입
2025-09-20 09:12,405330,0,11887920,카드정산사,카드 매출 정산 입금
2025-09-20 10:46,0,207900,11680020,망원시장 상회,식재료비
2025-09-20 14:00,0,993000,10687020,기타 운영비,공과금·소모품·수수료
2025-09-21 09:12,652070,0,11339090,카드정산사,카드 매출 정산 입금
2025-09-21 20:40,163000,0,11502090,자동입출금기,현금 매출 입금
2025-09-21 10:02,0,144900,11357190,망원시장 상회,식재료비
2025-09-22 09:12,546670,0,11903860,카드정산사,카드 매출 정산 입금
2025-09-23 09:12,358540,0,12262400,카드정산사,카드 매출 정산 입금
2025-09-23 10:42,0,178500,12083900,우리쌀도정,곡물 매입
2025-09-24 20:40,144000,0,12227900,자동입출금기,현금 매출 입금
2025-09-24 09:59,0,203300,12024600,한빛수산,수산물 매입
2025-09-25 09:12,588040,0,12612640,카드정산사,카드 매출 정산 입금
2025-09-25 09:35,0,198300,12414340,한빛수산,수산물 매입
2025-09-25 09:00,0,780000,11634340,한빛은행 대출상환,대출 원리금 상환
2025-09-25 09:00,0,370000,11264340,소상공인정책자금 상환,대출 원리금 상환
2025-09-26 09:12,483630,0,11747970,카드정산사,카드 매출 정산 입금
2025-09-26 08:54,0,142100,11605870,망원시장 상회,식재료비
2025-09-27 09:12,531900,0,12137770,카드정산사,카드 매출 정산 입금
2025-09-27 20:40,173000,0,12310770,자동입출금기,현금 매출 입금
2025-09-27 09:01,0,206100,12104670,망원시장 상회,식재료비
2025-09-28 09:12,772240,0,12876910,카드정산사,카드 매출 정산 입금
2025-09-29 09:12,763370,0,13640280,카드정산사,카드 매출 정산 입금
2025-09-29 10:35,0,181600,13458680,한빛수산,수산물 매입
2025-09-29 08:30,0,179700,13278980,우리쌀도정,곡물 매입
2025-09-30 09:12,402860,0,13681840,카드정산사,카드 매출 정산 입금
2025-09-30 20:40,112000,0,13793840,자동입출금기,현금 매출 입금
2025-09-30 10:08,0,181400,13612440,망원시장 상회,식재료비
2025-09-30 08:53,0,193300,13419140,우리쌀도정,곡물 매입
2025-10-01 09:12,357550,0,13776690,카드정산사,카드 매출 정산 입금
2025-10-01 10:27,0,226000,13550690,망원시장 상회,식재료비
2025-10-01 08:45,0,159400,13391290,한빛수산,수산물 매입
2025-10-01 10:38,0,210000,13181290,우리쌀도정,곡물 매입
2025-10-02 09:12,401880,0,13583170,카드정산사,카드 매출 정산 입금
2025-10-02 09:33,0,167400,13415770,한빛수산,수산물 매입
2025-10-02 08:00,0,211200,13204570,우리쌀도정,곡물 매입
2025-10-03 09:12,501360,0,13705930,카드정산사,카드 매출 정산 입금
2025-10-03 20:40,208000,0,13913930,자동입출금기,현금 매출 입금
2025-10-03 10:58,0,160400,13753530,망원시장 상회,식재료비
2025-10-04 09:12,494470,0,14248000,카드정산사,카드 매출 정산 입금
2025-10-04 09:19,0,222200,14025800,망원시장 상회,식재료비
2025-10-05 09:12,680630,0,14706430,카드정산사,카드 매출 정산 입금
2025-10-05 08:43,0,210300,14496130,망원시장 상회,식재료비
2025-10-05 10:00,0,2300000,12196130,한빛빌딩 임대,월 임차료
2025-10-05 10:00,0,240000,11956130,관리사무소,공용관리비
2025-10-06 09:12,586070,0,12542200,카드정산사,카드 매출 정산 입금
2025-10-06 20:40,116000,0,12658200,자동입출금기,현금 매출 입금
2025-10-06 09:29,0,207300,12450900,망원시장 상회,식재료비
2025-10-06 08:53,0,188300,12262600,우리쌀도정,곡물 매입
2025-10-07 09:12,466890,0,12729490,카드정산사,카드 매출 정산 입금
2025-10-08 09:12,532880,0,13262370,카드정산사,카드 매출 정산 입금
2025-10-08 09:54,0,226200,13036170,망원시장 상회,식재료비
2025-10-08 08:44,0,153800,12882370,우리쌀도정,곡물 매입
2025-10-09 09:12,421580,0,13303950,카드정산사,카드 매출 정산 입금
2025-10-09 20:40,176000,0,13479950,자동입출금기,현금 매출 입금
2025-10-09 09:06,0,144900,13335050,망원시장 상회,식재료비
2025-10-09 09:43,0,175100,13159950,한빛수산,수산물 매입
2025-10-10 09:12,547660,0,13707610,카드정산사,카드 매출 정산 입금
2025-10-10 10:38,0,151800,13555810,망원시장 상회,식재료비
2025-10-10 09:45,0,146700,13409110,우리쌀도정,곡물 매입
2025-10-10 11:30,0,4956000,8453110,급여이체,직원 급여
2025-10-11 09:12,494470,0,8947580,카드정산사,카드 매출 정산 입금
2025-10-11 10:38,0,210300,8737280,한빛수산,수산물 매입
2025-10-11 08:47,0,163300,8573980,우리쌀도정,곡물 매입
2025-10-12 09:12,765340,0,9339320,카드정산사,카드 매출 정산 입금
2025-10-12 20:40,102000,0,9441320,자동입출금기,현금 매출 입금
2025-10-12 10:01,0,227400,9213920,망원시장 상회,식재료비
2025-10-13 09:12,716090,0,9930010,카드정산사,카드 매출 정산 입금
2025-10-14 09:12,420990,0,10351000,카드정산사,카드 매출 정산 입금
2025-10-14 09:13,0,193100,10157900,망원시장 상회,식재료비
2025-10-14 09:16,0,188200,9969700,한빛수산,수산물 매입
2025-10-15 20:40,87000,0,10056700,자동입출금기,현금 매출 입금
2025-10-15 10:06,0,196000,9860700,망원시장 상회,식재료비
2025-10-15 08:39,0,191100,9669600,한빛수산,수산물 매입
2025-10-15 10:18,0,136300,9533300,우리쌀도정,곡물 매입
2025-10-16 09:12,400800,0,9934100,카드정산사,카드 매출 정산 입금
2025-10-16 09:12,0,213900,9720200,우리쌀도정,곡물 매입
2025-10-17 09:12,602430,0,10322630,카드정산사,카드 매출 정산 입금
2025-10-17 10:44,0,168700,10153930,망원시장 상회,식재료비
2025-10-18 09:12,575240,0,10729170,카드정산사,카드 매출 정산 입금
2025-10-18 20:40,227000,0,10956170,자동입출금기,현금 매출 입금
2025-10-18 08:16,0,172900,10783270,망원시장 상회,식재료비
2025-10-18 09:01,0,188300,10594970,우리쌀도정,곡물 매입
2025-10-19 09:12,813610,0,11408580,카드정산사,카드 매출 정산 입금
2025-10-19 09:04,0,206200,11202380,망원시장 상회,식재료비
2025-10-19 10:53,0,163800,11038580,한빛수산,수산물 매입
2025-10-20 09:12,428470,0,11467050,카드정산사,카드 매출 정산 입금
2025-10-20 09:04,0,211600,11255450,망원시장 상회,식재료비
2025-10-20 14:00,0,1062000,10193450,기타 운영비,공과금·소모품·수수료
2025-10-21 09:12,503330,0,10696780,카드정산사,카드 매출 정산 입금
2025-10-21 20:40,215000,0,10911780,자동입출금기,현금 매출 입금
2025-10-21 09:27,0,211100,10700680,한빛수산,수산물 매입
2025-10-22 09:12,446200,0,11146880,카드정산사,카드 매출 정산 입금
2025-10-23 09:12,442260,0,11589140,카드정산사,카드 매출 정산 입금
2025-10-24 09:12,509240,0,12098380,카드정산사,카드 매출 정산 입금
2025-10-24 20:40,171000,0,12269380,자동입출금기,현금 매출 입금
2025-10-25 09:12,656010,0,12925390,카드정산사,카드 매출 정산 입금
2025-10-25 09:00,0,780000,12145390,한빛은행 대출상환,대출 원리금 상환
2025-10-25 09:00,0,370000,11775390,소상공인정책자금 상환,대출 원리금 상환
2025-10-26 09:12,555540,0,12330930,카드정산사,카드 매출 정산 입금
2025-10-27 09:12,454080,0,12785010,카드정산사,카드 매출 정산 입금
2025-10-27 20:40,78000,0,12863010,자동입출금기,현금 매출 입금
2025-10-28 09:12,543720,0,13406730,카드정산사,카드 매출 정산 입금
2025-10-30 09:12,460980,0,13867710,카드정산사,카드 매출 정산 입금
2025-10-30 20:40,92000,0,13959710,자동입출금기,현금 매출 입금
2025-10-31 09:12,535840,0,14495550,카드정산사,카드 매출 정산 입금
2025-11-01 09:12,618580,0,15114130,카드정산사,카드 매출 정산 입금
2025-11-01 10:53,0,184700,14929430,망원시장 상회,식재료비
2025-11-01 08:04,0,161000,14768430,한빛수산,수산물 매입
2025-11-02 09:12,638280,0,15406710,카드정산사,카드 매출 정산 입금
2025-11-02 09:06,0,196000,15210710,망원시장 상회,식재료비
2025-11-02 08:50,0,192400,15018310,한빛수산,수산물 매입
2025-11-03 09:12,645170,0,15663480,카드정산사,카드 매출 정산 입금
2025-11-03 20:40,222000,0,15885480,자동입출금기,현금 매출 입금
2025-11-03 08:28,0,160600,15724880,한빛수산,수산물 매입
2025-11-04 09:12,469840,0,16194720,카드정산사,카드 매출 정산 입금
2025-11-04 08:03,0,206100,15988620,망원시장 상회,식재료비
2025-11-05 09:12,575240,0,16563860,카드정산사,카드 매출 정산 입금
2025-11-05 10:24,0,165900,16397960,망원시장 상회,식재료비
2025-11-05 10:00,0,2300000,14097960,한빛빌딩 임대,월 임차료
2025-11-05 10:00,0,240000,13857960,관리사무소,공용관리비
2025-11-06 09:12,503330,0,14361290,카드정산사,카드 매출 정산 입금
2025-11-06 20:40,135000,0,14496290,자동입출금기,현금 매출 입금
2025-11-06 10:58,0,203900,14292390,망원시장 상회,식재료비
2025-11-06 08:22,0,221300,14071090,한빛수산,수산물 매입
2025-11-07 09:12,485600,0,14556690,카드정산사,카드 매출 정산 입금
2025-11-08 09:12,671770,0,15228460,카드정산사,카드 매출 정산 입금
2025-11-08 08:07,0,189800,15038660,한빛수산,수산물 매입
2025-11-09 09:12,765340,0,15804000,카드정산사,카드 매출 정산 입금
2025-11-09 20:40,161000,0,15965000,자동입출금기,현금 매출 입금
2025-11-09 08:24,0,152900,15812100,망원시장 상회,식재료비
2025-11-09 08:59,0,212500,15599600,우리쌀도정,곡물 매입
2025-11-10 09:12,525990,0,16125590,카드정산사,카드 매출 정산 입금
2025-11-10 11:30,0,4868000,11257590,급여이체,직원 급여
2025-11-11 09:12,328000,0,11585590,카드정산사,카드 매출 정산 입금
2025-11-11 10:22,0,169100,11416490,망원시장 상회,식재료비
2025-11-12 20:40,77000,0,11493490,자동입출금기,현금 매출 입금
2025-11-12 10:06,0,177900,11315590,망원시장 상회,식재료비
2025-11-12 08:07,0,199800,11115790,한빛수산,수산물 매입
2025-11-13 09:12,518110,0,11633900,카드정산사,카드 매출 정산 입금
2025-11-13 09:29,0,183600,11450300,망원시장 상회,식재료비
2025-11-14 09:12,535840,0,11986140,카드정산사,카드 매출 정산 입금
2025-11-14 09:57,0,159800,11826340,망원시장 상회,식재료비
2025-11-15 09:12,713140,0,12539480,카드정산사,카드 매출 정산 입금
2025-11-15 20:40,117000,0,12656480,자동입출금기,현금 매출 입금
2025-11-15 09:23,0,203500,12452980,망원시장 상회,식재료비
2025-11-16 09:12,808680,0,13261660,카드정산사,카드 매출 정산 입금
2025-11-17 09:12,563420,0,13825080,카드정산사,카드 매출 정산 입금
2025-11-18 09:12,402860,0,14227940,카드정산사,카드 매출 정산 입금
2025-11-18 20:40,97000,0,14324940,자동입출금기,현금 매출 입금
2025-11-19 09:12,425520,0,14750460,카드정산사,카드 매출 정산 입금
2025-11-19 08:37,0,155300,14595160,망원시장 상회,식재료비
2025-11-19 10:12,0,159800,14435360,한빛수산,수산물 매입
2025-11-20 09:12,547660,0,14983020,카드정산사,카드 매출 정산 입금
2025-11-20 08:32,0,174100,14808920,한빛수산,수산물 매입
2025-11-20 10:59,0,140400,14668520,우리쌀도정,곡물 매입
2025-11-20 14:00,0,1043000,13625520,기타 운영비,공과금·소모품·수수료
2025-11-21 09:12,434380,0,14059900,카드정산사,카드 매출 정산 입금
2025-11-21 20:40,230000,0,14289900,자동입출금기,현금 매출 입금
2025-11-22 09:12,634340,0,14924240,카드정산사,카드 매출 정산 입금
2025-11-22 08:33,0,171300,14752940,한빛수산,수산물 매입
2025-11-23 09:12,625470,0,15378410,카드정산사,카드 매출 정산 입금
2025-11-23 09:18,0,208600,15169810,망원시장 상회,식재료비
2025-11-23 08:11,0,227600,14942210,한빛수산,수산물 매입
2025-11-24 09:12,565980,0,15508190,카드정산사,카드 매출 정산 입금
2025-11-24 20:40,142000,0,15650190,자동입출금기,현금 매출 입금
2025-11-25 09:12,571300,0,16221490,카드정산사,카드 매출 정산 입금
2025-11-25 09:00,0,780000,15441490,한빛은행 대출상환,대출 원리금 상환
2025-11-25 09:00,0,370000,15071490,소상공인정책자금 상환,대출 원리금 상환
2025-11-26 08:15,0,153700,14917790,망원시장 상회,식재료비
2025-11-26 10:29,0,224000,14693790,한빛수산,수산물 매입
2025-11-27 09:12,501360,0,15195150,카드정산사,카드 매출 정산 입금
2025-11-27 20:40,275000,0,15470150,자동입출금기,현금 매출 입금
2025-11-27 08:26,0,221400,15248750,한빛수산,수산물 매입
2025-11-28 09:12,508260,0,15757010,카드정산사,카드 매출 정산 입금
2025-11-28 08:44,0,173800,15583210,망원시장 상회,식재료비
2025-11-29 09:12,551600,0,16134810,카드정산사,카드 매출 정산 입금
2025-11-29 09:53,0,213400,15921410,한빛수산,수산물 매입
2025-11-29 08:58,0,184700,15736710,우리쌀도정,곡물 매입
2025-11-30 09:12,689500,0,16426210,카드정산사,카드 매출 정산 입금
2025-11-30 20:40,106000,0,16532210,자동입출금기,현금 매출 입금
2025-12-01 09:12,605770,0,17137980,카드정산사,카드 매출 정산 입금
2025-12-01 10:10,0,203600,16934380,우리쌀도정,곡물 매입
2025-12-02 09:12,485600,0,17419980,카드정산사,카드 매출 정산 입금
2025-12-02 09:04,0,141300,17278680,망원시장 상회,식재료비
2025-12-03 09:12,451130,0,17729810,카드정산사,카드 매출 정산 입금
2025-12-03 20:40,200000,0,17929810,자동입출금기,현금 매출 입금
2025-12-03 09:35,0,150800,17779010,한빛수산,수산물 매입
2025-12-03 08:31,0,143100,17635910,우리쌀도정,곡물 매입
2025-12-04 09:12,551600,0,18187510,카드정산사,카드 매출 정산 입금
2025-12-04 10:42,0,218500,17969010,한빛수산,수산물 매입
2025-12-05 09:12,531900,0,18500910,카드정산사,카드 매출 정산 입금
2025-12-05 10:59,0,217200,18283710,망원시장 상회,식재료비
2025-12-05 09:44,0,212400,18071310,한빛수산,수산물 매입
2025-12-05 10:00,0,2300000,15771310,한빛빌딩 임대,월 임차료
2025-12-05 10:00,0,240000,15531310,관리사무소,공용관리비
2025-12-06 09:12,536820,0,16068130,카드정산사,카드 매출 정산 입금
2025-12-06 20:40,293000,0,16361130,자동입출금기,현금 매출 입금
2025-12-06 10:45,0,220700,16140430,한빛수산,수산물 매입
2025-12-07 09:12,740720,0,16881150,카드정산사,카드 매출 정산 입금
2025-12-07 09:22,0,180600,16700550,망원시장 상회,식재료비
2025-12-08 09:12,539780,0,17240330,카드정산사,카드 매출 정산 입금
2025-12-09 09:12,311260,0,17551590,카드정산사,카드 매출 정산 입금
2025-12-09 20:40,103000,0,17654590,자동입출금기,현금 매출 입금
2025-12-09 09:27,0,143000,17511590,망원시장 상회,식재료비
2025-12-09 08:38,0,218900,17292690,한빛수산,수산물 매입
2025-12-10 09:56,0,200100,17092590,한빛수산,수산물 매입
2025-12-10 11:30,0,4962000,12130590,급여이체,직원 급여
2025-12-11 09:12,471810,0,12602400,카드정산사,카드 매출 정산 입금
2025-12-11 08:58,0,193700,12408700,망원시장 상회,식재료비
2025-12-12 09:12,681620,0,13090320,카드정산사,카드 매출 정산 입금
2025-12-12 20:40,227000,0,13317320,자동입출금기,현금 매출 입금
2025-12-12 08:07,0,229000,13088320,한빛수산,수산물 매입
2025-12-13 09:12,451130,0,13539450,카드정산사,카드 매출 정산 입금
2025-12-14 09:12,689500,0,14228950,카드정산사,카드 매출 정산 입금
2025-12-14 10:44,0,229300,13999650,망원시장 상회,식재료비
2025-12-14 09:10,0,218100,13781550,한빛수산,수산물 매입
2025-12-15 09:12,591000,0,14372550,카드정산사,카드 매출 정산 입금
2025-12-15 20:40,67000,0,14439550,자동입출금기,현금 매출 입금
2025-12-15 10:26,0,196300,14243250,한빛수산,수산물 매입
2025-12-16 09:12,542730,0,14785980,카드정산사,카드 매출 정산 입금
2025-12-16 09:11,0,138800,14647180,망원시장 상회,식재료비
2025-12-16 10:29,0,191100,14456080,우리쌀도정,곡물 매입
2025-12-17 09:12,474770,0,14930850,카드정산사,카드 매출 정산 입금
2025-12-17 09:47,0,212200,14718650,망원시장 상회,식재료비
2025-12-18 09:12,400890,0,15119540,카드정산사,카드 매출 정산 입금
2025-12-18 20:40,157000,0,15276540,자동입출금기,현금 매출 입금
2025-12-18 10:49,0,176400,15100140,망원시장 상회,식재료비
2025-12-18 09:58,0,176100,14924040,한빛수산,수산물 매입
2025-12-18 09:50,0,164100,14759940,우리쌀도정,곡물 매입
2025-12-19 09:12,391040,0,15150980,카드정산사,카드 매출 정산 입금
2025-12-19 10:26,0,226900,14924080,망원시장 상회,식재료비
2025-12-19 10:45,0,217000,14707080,한빛수산,수산물 매입
2025-12-20 09:12,695410,0,15402490,카드정산사,카드 매출 정산 입금
2025-12-20 10:01,0,178200,15224290,망원시장 상회,식재료비
2025-12-20 14:00,0,1063000,14161290,기타 운영비,공과금·소모품·수수료
2025-12-21 09:12,496440,0,14657730,카드정산사,카드 매출 정산 입금
2025-12-21 20:40,256000,0,14913730,자동입출금기,현금 매출 입금
2025-12-21 08:41,0,184700,14729030,망원시장 상회,식재료비
2025-12-22 09:12,734810,0,15463840,카드정산사,카드 매출 정산 입금
2025-12-23 09:12,465900,0,15929740,카드정산사,카드 매출 정산 입금
2025-12-24 20:40,71000,0,16000740,자동입출금기,현금 매출 입금
2025-12-24 08:37,0,155700,15845040,망원시장 상회,식재료비
2025-12-25 09:12,530910,0,16375950,카드정산사,카드 매출 정산 입금
2025-12-25 10:26,0,174500,16201450,망원시장 상회,식재료비
2025-12-25 10:10,0,157500,16043950,한빛수산,수산물 매입
2025-12-25 09:00,0,780000,15263950,한빛은행 대출상환,대출 원리금 상환
2025-12-25 09:00,0,370000,14893950,소상공인정책자금 상환,대출 원리금 상환
2025-12-26 09:12,485510,0,15379460,카드정산사,카드 매출 정산 입금
2025-12-26 09:57,0,153300,15226160,망원시장 상회,식재료비
2025-12-26 09:27,0,195200,15030960,우리쌀도정,곡물 매입
2025-12-27 09:12,533870,0,15564830,카드정산사,카드 매출 정산 입금
2025-12-27 20:40,208000,0,15772830,자동입출금기,현금 매출 입금
2025-12-28 09:12,781100,0,16553930,카드정산사,카드 매출 정산 입금
2025-12-29 09:12,495450,0,17049380,카드정산사,카드 매출 정산 입금
2025-12-30 09:12,517120,0,17566500,카드정산사,카드 매출 정산 입금
2025-12-30 20:40,123000,0,17689500,자동입출금기,현금 매출 입금
2025-12-31 09:12,432410,0,18121910,카드정산사,카드 매출 정산 입금
2026-01-01 09:12,606760,0,18728670,카드정산사,카드 매출 정산 입금
2026-01-01 08:40,0,170800,18557870,한빛수산,수산물 매입
2026-01-02 09:12,578190,0,19136060,카드정산사,카드 매출 정산 입금
2026-01-02 09:19,0,179600,18956460,망원시장 상회,식재료비
2026-01-03 09:12,456050,0,19412510,카드정산사,카드 매출 정산 입금
2026-01-03 20:40,218000,0,19630510,자동입출금기,현금 매출 입금
2026-01-03 10:17,0,187900,19442610,망원시장 상회,식재료비
2026-01-04 09:12,613650,0,20056260,카드정산사,카드 매출 정산 입금
2026-01-04 09:00,0,144000,19912260,망원시장 상회,식재료비
2026-01-05 09:12,611680,0,20523940,카드정산사,카드 매출 정산 입금
2026-01-05 09:47,0,159100,20364840,망원시장 상회,식재료비
2026-01-05 08:41,0,151800,20213040,한빛수산,수산물 매입
2026-01-05 10:00,0,2300000,17913040,한빛빌딩 임대,월 임차료
2026-01-05 10:00,0,240000,17673040,관리사무소,공용관리비
2026-01-06 09:12,429460,0,18102500,카드정산사,카드 매출 정산 입금
2026-01-06 20:40,87000,0,18189500,자동입출금기,현금 매출 입금
2026-01-07 09:12,493480,0,18682980,카드정산사,카드 매출 정산 입금
2026-01-07 08:07,0,155400,18527580,망원시장 상회,식재료비
2026-01-07 10:34,0,194300,18333280,한빛수산,수산물 매입
2026-01-08 09:12,453100,0,18786380,카드정산사,카드 매출 정산 입금
2026-01-08 08:15,0,220500,18565880,망원시장 상회,식재료비
2026-01-08 10:09,0,206300,18359580,우리쌀도정,곡물 매입
2026-01-09 09:12,554550,0,18914130,카드정산사,카드 매출 정산 입금
2026-01-09 20:40,133000,0,19047130,자동입출금기,현금 매출 입금
2026-01-10 09:12,525000,0,19572130,카드정산사,카드 매출 정산 입금
2026-01-10 10:39,0,171200,19400930,망원시장 상회,식재료비
2026-01-10 09:51,0,181100,19219830,한빛수산,수산물 매입
2026-01-10 11:30,0,5061000,14158830,급여이체,직원 급여
2026-01-11 09:12,763370,0,14922200,카드정산사,카드 매출 정산 입금
2026-01-11 08:29,0,213700,14708500,망원시장 상회,식재료비
2026-01-12 09:12,789970,0,15498470,카드정산사,카드 매출 정산 입금
2026-01-12 20:40,173000,0,15671470,자동입출금기,현금 매출 입금
2026-01-13 09:12,413700,0,16085170,카드정산사,카드 매출 정산 입금
2026-01-13 10:20,0,209700,15875470,망원시장 상회,식재료비
2026-01-14 09:41,0,174800,15700670,망원시장 상회,식재료비
2026-01-14 09:15,0,230800,15469870,한빛수산,수산물 매입
2026-01-15 09:12,435370,0,15905240,카드정산사,카드 매출 정산 입금
2026-01-15 20:40,175000,0,16080240,자동입출금기,현금 매출 입금
2026-01-15 09:24,0,151700,15928540,망원시장 상회,식재료비
2026-01-16 09:12,602820,0,16531360,카드정산사,카드 매출 정산 입금
2026-01-16 10:28,0,200500,16330860,망원시장 상회,식재료비
2026-01-16 10:05,0,211200,16119660,한빛수산,수산물 매입
2026-01-17 09:12,589030,0,16708690,카드정산사,카드 매출 정산 입금
2026-01-17 09:18,0,160000,16548690,우리쌀도정,곡물 매입
2026-01-18 09:12,520080,0,17068770,카드정산사,카드 매출 정산 입금
2026-01-18 20:40,173000,0,17241770,자동입출금기,현금 매출 입금
2026-01-18 09:24,0,230500,17011270,망원시장 상회,식재료비
2026-01-19 09:12,622520,0,17633790,카드정산사,카드 매출 정산 입금
2026-01-20 09:12,537810,0,18171600,카드정산사,카드 매출 정산 입금
2026-01-20 08:18,0,177900,17993700,망원시장 상회,식재료비
2026-01-20 10:26,0,195800,17797900,우리쌀도정,곡물 매입
2026-01-20 14:00,0,1084000,16713900,기타 운영비,공과금·소모품·수수료
2026-01-21 09:12,343760,0,17057660,카드정산사,카드 매출 정산 입금
2026-01-21 20:40,220000,0,17277660,자동입출금기,현금 매출 입금
2026-01-21 08:13,0,150000,17127660,망원시장 상회,식재료비
2026-01-21 08:01,0,160100,16967560,한빛수산,수산물 매입
2026-01-22 09:12,560460,0,17528020,카드정산사,카드 매출 정산 입금
2026-01-23 09:12,508260,0,18036280,카드정산사,카드 매출 정산 입금
2026-01-23 09:38,0,186700,17849580,망원시장 상회,식재료비
2026-01-24 09:12,662900,0,18512480,카드정산사,카드 매출 정산 입금
2026-01-24 20:40,143000,0,18655480,자동입출금기,현금 매출 입금
2026-01-25 09:12,726930,0,19382410,카드정산사,카드 매출 정산 입금
2026-01-25 10:14,0,233100,19149310,망원시장 상회,식재료비
2026-01-25 09:10,0,219300,18930010,우리쌀도정,곡물 매입
2026-01-25 09:00,0,780000,18150010,한빛은행 대출상환,대출 원리금 상환
2026-01-25 09:00,0,370000,17780010,소상공인정책자금 상환,대출 원리금 상환
2026-01-26 09:12,557510,0,18337520,카드정산사,카드 매출 정산 입금
2026-01-27 09:12,335880,0,18673400,카드정산사,카드 매출 정산 입금
2026-01-27 20:40,157000,0,18830400,자동입출금기,현금 매출 입금
2026-01-27 08:24,0,172000,18658400,망원시장 상회,식재료비
2026-01-28 09:24,0,177600,18480800,망원시장 상회,식재료비
2026-01-28 08:12,0,155200,18325600,한빛수산,수산물 매입
2026-01-28 09:44,0,216400,18109200,우리쌀도정,곡물 매입
2026-01-29 09:12,395970,0,18505170,카드정산사,카드 매출 정산 입금
2026-01-30 09:12,594940,0,19100110,카드정산사,카드 매출 정산 입금
2026-01-30 20:40,227000,0,19327110,자동입출금기,현금 매출 입금
2026-01-31 09:12,657980,0,19985090,카드정산사,카드 매출 정산 입금
2026-02-01 09:12,622520,0,20607610,카드정산사,카드 매출 정산 입금
2026-02-01 10:06,0,178100,20429510,한빛수산,수산물 매입
2026-02-02 09:12,785040,0,21214550,카드정산사,카드 매출 정산 입금
2026-02-02 08:17,0,162400,21052150,한빛수산,수산물 매입
2026-02-03 09:12,541750,0,21593900,카드정산사,카드 매출 정산 입금
2026-02-03 20:40,178000,0,21771900,자동입출금기,현금 매출 입금
2026-02-03 08:05,0,204300,21567600,망원시장 상회,식재료비
2026-02-03 09:03,0,239000,21328600,한빛수산,수산물 매입
2026-02-04 09:12,406800,0,21735400,카드정산사,카드 매출 정산 입금
2026-02-04 09:10,0,205600,21529800,한빛수산,수산물 매입
2026-02-05 09:12,451130,0,21980930,카드정산사,카드 매출 정산 입금
2026-02-05 09:12,0,154200,21826730,망원시장 상회,식재료비
