영업일,결제시각,주문금액,결제수단,메뉴,수량,취소환불액
2025-09-09,11:07,9000,카드,동치미 국수,1,0
2025-09-09,11:37,30000,카드,제철 반상,2,0
2025-09-09,11:39,26000,카드,들기름 고등어 한상,2,0
2025-09-09,11:41,13000,카드,들기름 고등어 한상,1,0
2025-09-09,11:42,12000,카드,계란말이 추가,2,0
2025-09-09,11:42,13000,간편결제,들기름 고등어 한상,1,0
2025-09-09,12:16,21000,간편결제,묵은지 김치찜,1,0
2025-09-09,12:40,17000,카드,소복 정식,1,0
2025-09-09,12:43,26000,카드,보리굴비 정식,1,0
2025-09-09,13:01,17000,카드,소복 정식,1,0
2025-09-09,13:15,17000,간편결제,소복 정식,1,0
2025-09-09,13:36,15000,간편결제,제철 반상,1,0
2025-09-09,13:50,6000,카드,계란말이 추가,1,0
2025-09-09,17:10,9000,간편결제,동치미 국수,1,0
2025-09-09,17:14,13000,카드,들기름 고등어 한상,1,0
2025-09-09,17:27,26000,간편결제,보리굴비 정식,1,0
2025-09-09,17:27,30000,카드,제철 반상,2,0
2025-09-09,17:29,13000,카드,들기름 고등어 한상,1,0
2025-09-09,18:00,21000,카드,묵은지 김치찜,1,0
2025-09-09,18:50,17000,카드,소복 정식,1,0
2025-09-09,19:08,6000,간편결제,계란말이 추가,1,0
2025-09-09,19:11,26000,현금,보리굴비 정식,1,26000
2025-09-09,20:03,6000,현금,계란말이 추가,1,6000
2025-09-09,20:08,18000,현금,동치미 국수,2,0
2025-09-09,20:38,52000,현금,보리굴비 정식,2,0
2025-09-09,20:48,13000,카드,들기름 고등어 한상,1,0
2025-09-09,20:49,18000,카드,동치미 국수,2,0
2025-09-10,12:01,21000,카드,묵은지 김치찜,1,0
2025-09-10,12:08,9000,카드,동치미 국수,1,0
2025-09-10,12:13,21000,카드,묵은지 김치찜,1,0
2025-09-10,12:20,17000,카드,소복 정식,1,0
2025-09-10,12:24,18000,카드,동치미 국수,2,0
2025-09-10,12:26,13000,카드,들기름 고등어 한상,1,0
2025-09-10,12:36,17000,카드,소복 정식,1,0
2025-09-10,12:50,26000,현금,보리굴비 정식,1,0
2025-09-10,13:02,15000,카드,제철 반상,1,0
2025-09-10,13:16,18000,카드,동치미 국수,2,0
2025-09-10,13:29,13000,간편결제,들기름 고등어 한상,1,0
2025-09-10,13:36,9000,카드,동치미 국수,1,0
2025-09-10,13:44,21000,카드,묵은지 김치찜,1,0
2025-09-10,13:51,6000,카드,계란말이 추가,1,6000
2025-09-10,17:01,21000,카드,묵은지 김치찜,1,0
2025-09-10,17:08,13000,카드,들기름 고등어 한상,1,0
2025-09-10,17:49,42000,카드,묵은지 김치찜,2,0
2025-09-10,17:54,18000,카드,동치미 국수,2,0
2025-09-10,18:04,15000,카드,제철 반상,1,0
2025-09-10,18:07,9000,카드,동치미 국수,1,0
2025-09-10,18:11,13000,카드,들기름 고등어 한상,1,13000
2025-09-10,18:16,6000,카드,계란말이 추가,1,0
2025-09-10,18:23,6000,카드,계란말이 추가,1,0
2025-09-10,19:15,15000,카드,제철 반상,1,0
2025-09-10,20:04,21000,간편결제,묵은지 김치찜,1,0
2025-09-10,20:12,30000,간편결제,제철 반상,2,0
2025-09-10,20:31,15000,카드,제철 반상,1,0
2025-09-10,20:33,15000,간편결제,제철 반상,1,0
2025-09-10,20:47,6000,카드,계란말이 추가,1,0
2025-09-11,11:08,6000,현금,계란말이 추가,1,0
2025-09-11,11:38,13000,카드,들기름 고등어 한상,1,0
2025-09-11,11:50,30000,간편결제,제철 반상,2,0
2025-09-11,11:57,26000,카드,보리굴비 정식,1,0
2025-09-11,12:06,15000,카드,제철 반상,1,0
2025-09-11,12:10,9000,카드,동치미 국수,1,0
2025-09-11,12:38,17000,간편결제,소복 정식,1,0
2025-09-11,12:53,26000,간편결제,보리굴비 정식,1,0
2025-09-11,13:05,17000,카드,소복 정식,1,0
2025-09-11,13:10,26000,카드,들기름 고등어 한상,2,0
2025-09-11,13:14,26000,카드,보리굴비 정식,1,0
2025-09-11,13:19,34000,카드,소복 정식,2,0
2025-09-11,13:26,26000,카드,보리굴비 정식,1,0
2025-09-11,13:27,21000,카드,묵은지 김치찜,1,0
2025-09-11,13:29,17000,간편결제,소복 정식,1,0
2025-09-11,13:34,9000,카드,동치미 국수,1,0
2025-09-11,17:19,26000,현금,들기름 고등어 한상,2,0
2025-09-11,17:22,34000,카드,소복 정식,2,0
2025-09-11,17:27,21000,카드,묵은지 김치찜,1,0
2025-09-11,17:34,26000,카드,들기름 고등어 한상,2,0
2025-09-11,17:48,17000,현금,소복 정식,1,0
2025-09-11,18:06,21000,카드,묵은지 김치찜,1,0
2025-09-11,18:45,27000,카드,동치미 국수,3,0
2025-09-11,18:45,6000,카드,계란말이 추가,1,0
2025-09-11,19:04,13000,카드,들기름 고등어 한상,1,0
2025-09-11,19:14,42000,간편결제,묵은지 김치찜,2,0
2025-09-11,19:15,13000,카드,들기름 고등어 한상,1,0
2025-09-11,19:19,6000,간편결제,계란말이 추가,1,0
2025-09-11,19:24,45000,카드,제철 반상,3,0
2025-09-11,19:29,26000,카드,보리굴비 정식,1,0
2025-09-11,20:04,6000,카드,계란말이 추가,1,0
2025-09-11,20:12,52000,카드,보리굴비 정식,2,0
2025-09-11,20:14,21000,카드,묵은지 김치찜,1,0
2025-09-11,20:28,13000,간편결제,들기름 고등어 한상,1,0
2025-09-11,20:31,15000,간편결제,제철 반상,1,0
2025-09-11,20:59,21000,카드,묵은지 김치찜,1,0
2025-09-12,11:19,13000,카드,들기름 고등어 한상,1,0
2025-09-12,11:23,9000,카드,동치미 국수,1,0
2025-09-12,11:24,13000,현금,들기름 고등어 한상,1,0
2025-09-12,11:31,6000,카드,계란말이 추가,1,0
2025-09-12,12:00,18000,카드,동치미 국수,2,0
2025-09-12,12:06,9000,간편결제,동치미 국수,1,0
2025-09-12,12:13,13000,카드,들기름 고등어 한상,1,0
2025-09-12,12:14,52000,카드,보리굴비 정식,2,0
2025-09-12,12:21,26000,카드,보리굴비 정식,1,0
2025-09-12,12:23,9000,카드,동치미 국수,1,0
2025-09-12,12:24,15000,현금,제철 반상,1,0
2025-09-12,12:41,34000,카드,소복 정식,2,0
2025-09-12,12:42,21000,카드,묵은지 김치찜,1,0
2025-09-12,12:47,9000,카드,동치미 국수,1,0
2025-09-12,13:08,12000,카드,계란말이 추가,2,0
2025-09-12,13:10,15000,카드,제철 반상,1,0
2025-09-12,13:30,52000,카드,보리굴비 정식,2,0
2025-09-12,13:32,63000,카드,묵은지 김치찜,3,0
2025-09-12,13:42,26000,간편결제,들기름 고등어 한상,2,0
2025-09-12,13:42,6000,카드,계란말이 추가,1,6000
2025-09-12,13:43,26000,간편결제,보리굴비 정식,1,0
2025-09-12,13:44,39000,현금,들기름 고등어 한상,3,0
2025-09-12,17:13,21000,카드,묵은지 김치찜,1,0
2025-09-12,17:27,9000,카드,동치미 국수,1,0
2025-09-12,18:05,52000,현금,보리굴비 정식,2,0
2025-09-12,18:24,42000,카드,묵은지 김치찜,2,0
2025-09-12,18:31,26000,카드,보리굴비 정식,1,0
2025-09-12,18:36,13000,카드,들기름 고등어 한상,1,0
2025-09-12,18:47,26000,카드,보리굴비 정식,1,0
2025-09-12,18:51,13000,카드,들기름 고등어 한상,1,0
2025-09-12,18:53,26000,카드,들기름 고등어 한상,2,0
2025-09-12,18:57,17000,현금,소복 정식,1,0
2025-09-12,18:58,15000,카드,제철 반상,1,0
2025-09-12,18:59,18000,현금,동치미 국수,2,0
2025-09-12,19:03,21000,카드,묵은지 김치찜,1,0
2025-09-12,19:56,26000,현금,들기름 고등어 한상,2,0
2025-09-12,20:02,42000,간편결제,묵은지 김치찜,2,0
2025-09-12,20:07,17000,간편결제,소복 정식,1,0
2025-09-12,20:16,13000,카드,들기름 고등어 한상,1,0
2025-09-12,20:32,9000,간편결제,동치미 국수,1,0
2025-09-12,20:54,18000,카드,계란말이 추가,3,0
2025-09-13,11:03,9000,간편결제,동치미 국수,1,0
2025-09-13,11:11,13000,카드,들기름 고등어 한상,1,0
2025-09-13,11:28,17000,카드,소복 정식,1,0
2025-09-13,11:46,63000,카드,묵은지 김치찜,3,0
2025-09-13,11:51,13000,카드,들기름 고등어 한상,1,0
2025-09-13,12:07,17000,카드,소복 정식,1,0
2025-09-13,12:12,15000,현금,제철 반상,1,0
2025-09-13,12:16,34000,간편결제,소복 정식,2,0
2025-09-13,12:29,12000,카드,계란말이 추가,2,0
2025-09-13,13:09,9000,카드,동치미 국수,1,0
2025-09-13,13:27,6000,카드,계란말이 추가,1,0
2025-09-13,13:49,26000,카드,보리굴비 정식,1,0
2025-09-13,13:53,26000,간편결제,보리굴비 정식,1,0
2025-09-13,13:53,26000,카드,보리굴비 정식,1,0
2025-09-13,17:11,26000,카드,보리굴비 정식,1,0
2025-09-13,17:15,78000,카드,보리굴비 정식,3,0
2025-09-13,17:16,15000,카드,제철 반상,1,0
2025-09-13,17:20,27000,카드,동치미 국수,3,0
2025-09-13,17:31,9000,간편결제,동치미 국수,1,0
2025-09-13,17:37,15000,카드,제철 반상,1,0
2025-09-13,17:54,26000,카드,들기름 고등어 한상,2,0
2025-09-13,18:22,6000,카드,계란말이 추가,1,0
2025-09-13,18:40,17000,카드,소복 정식,1,0
2025-09-13,18:42,13000,현금,들기름 고등어 한상,1,0
2025-09-13,18:46,52000,카드,보리굴비 정식,2,0
2025-09-13,18:52,26000,간편결제,보리굴비 정식,1,0
2025-09-13,19:04,12000,카드,계란말이 추가,2,0
2025-09-13,19:08,21000,카드,묵은지 김치찜,1,0
2025-09-13,19:19,13000,현금,들기름 고등어 한상,1,0
2025-09-13,19:52,9000,카드,동치미 국수,1,0
2025-09-13,19:54,6000,카드,계란말이 추가,1,0
2025-09-13,19:55,52000,카드,보리굴비 정식,2,0
2025-09-13,19:57,34000,카드,소복 정식,2,0
2025-09-13,20:19,6000,카드,계란말이 추가,1,0
2025-09-13,20:21,15000,카드,제철 반상,1,0
2025-09-13,20:24,17000,간편결제,소복 정식,1,0
2025-09-13,20:30,15000,카드,제철 반상,1,0
2025-09-13,20:38,15000,카드,제철 반상,1,0
2025-09-14,11:09,9000,간편결제,동치미 국수,1,0
2025-09-14,11:24,9000,카드,동치미 국수,1,0
2025-09-14,11:42,6000,카드,계란말이 추가,1,0
2025-09-14,12:02,18000,카드,동치미 국수,2,0
2025-09-14,12:15,17000,카드,소복 정식,1,0
2025-09-14,12:32,26000,간편결제,보리굴비 정식,1,0
2025-09-14,12:53,6000,카드,계란말이 추가,1,6000
2025-09-14,13:16,52000,현금,보리굴비 정식,2,0
2025-09-14,13:29,26000,카드,보리굴비 정식,1,0
2025-09-14,13:31,13000,카드,들기름 고등어 한상,1,0
2025-09-14,13:39,15000,카드,제철 반상,1,0
2025-09-14,13:39,9000,카드,동치미 국수,1,0
2025-09-14,13:48,13000,카드,들기름 고등어 한상,1,0
2025-09-14,13:57,34000,카드,소복 정식,2,0
2025-09-14,13:57,45000,카드,제철 반상,3,0
2025-09-14,13:58,6000,카드,계란말이 추가,1,0
2025-09-14,17:23,15000,카드,제철 반상,1,0
2025-09-14,17:27,15000,간편결제,제철 반상,1,0
2025-09-14,17:40,30000,카드,제철 반상,2,0
2025-09-14,17:54,17000,카드,소복 정식,1,0
2025-09-14,18:16,26000,카드,보리굴비 정식,1,0
2025-09-14,18:21,9000,간편결제,동치미 국수,1,0
2025-09-14,18:32,9000,카드,동치미 국수,1,0
2025-09-14,18:38,15000,카드,제철 반상,1,0
2025-09-14,18:46,26000,간편결제,들기름 고등어 한상,2,0
2025-09-14,20:12,6000,카드,계란말이 추가,1,0
2025-09-15,11:14,13000,카드,들기름 고등어 한상,1,0
2025-09-15,11:19,9000,카드,동치미 국수,1,0
2025-09-15,11:32,6000,카드,계란말이 추가,1,0
2025-09-15,11:37,13000,카드,들기름 고등어 한상,1,0
2025-09-15,11:52,9000,카드,동치미 국수,1,0
2025-09-15,12:35,6000,간편결제,계란말이 추가,1,0
2025-09-15,12:50,34000,간편결제,소복 정식,2,0
2025-09-15,13:11,26000,간편결제,들기름 고등어 한상,2,0
2025-09-15,13:24,17000,카드,소복 정식,1,0
2025-09-15,17:18,12000,카드,계란말이 추가,2,0
2025-09-15,17:32,30000,카드,제철 반상,2,0
2025-09-15,17:57,21000,카드,묵은지 김치찜,1,0
2025-09-15,18:00,34000,현금,소복 정식,2,0
2025-09-15,18:20,26000,카드,보리굴비 정식,1,0
2025-09-15,18:28,21000,카드,묵은지 김치찜,1,0
2025-09-15,18:34,9000,간편결제,동치미 국수,1,0
2025-09-15,19:09,26000,간편결제,보리굴비 정식,1,0
2025-09-15,19:14,15000,카드,제철 반상,1,0
2025-09-15,19:42,21000,현금,묵은지 김치찜,1,0
2025-09-15,19:43,26000,카드,보리굴비 정식,1,0
2025-09-15,20:28,63000,카드,묵은지 김치찜,3,63000
2025-09-15,20:34,9000,카드,동치미 국수,1,0
2025-09-16,11:00,30000,카드,제철 반상,2,0
2025-09-16,11:11,26000,카드,들기름 고등어 한상,2,0
2025-09-16,11:16,34000,카드,소복 정식,2,0
2025-09-16,12:08,18000,간편결제,동치미 국수,2,0
2025-09-16,12:20,13000,간편결제,들기름 고등어 한상,1,0
2025-09-16,12:45,6000,카드,계란말이 추가,1,0
2025-09-16,12:57,15000,카드,제철 반상,1,0
2025-09-16,13:08,18000,카드,동치미 국수,2,0
2025-09-16,13:09,63000,카드,묵은지 김치찜,3,0
2025-09-16,13:28,6000,현금,계란말이 추가,1,0
2025-09-16,13:41,34000,카드,소복 정식,2,0
2025-09-16,13:45,17000,카드,소복 정식,1,0
2025-09-16,13:56,18000,카드,동치미 국수,2,0
2025-09-16,17:15,26000,카드,보리굴비 정식,1,0
2025-09-16,17:32,27000,카드,동치미 국수,3,0
2025-09-16,17:36,26000,카드,들기름 고등어 한상,2,0
2025-09-16,18:11,13000,카드,들기름 고등어 한상,1,0
2025-09-16,18:16,26000,간편결제,들기름 고등어 한상,2,0
2025-09-16,18:28,45000,카드,제철 반상,3,0
2025-09-16,18:32,9000,카드,동치미 국수,1,0
2025-09-16,18:42,6000,현금,계란말이 추가,1,0
2025-09-16,19:08,52000,카드,보리굴비 정식,2,0
2025-09-16,19:55,17000,카드,소복 정식,1,0
2025-09-16,20:03,13000,간편결제,들기름 고등어 한상,1,0
2025-09-16,20:12,17000,카드,소복 정식,1,0
2025-09-16,20:17,42000,카드,묵은지 김치찜,2,0
2025-09-16,20:27,21000,현금,묵은지 김치찜,1,0
2025-09-16,20:36,13000,현금,들기름 고등어 한상,1,0
2025-09-16,20:41,52000,카드,보리굴비 정식,2,0
2025-09-16,20:49,17000,간편결제,소복 정식,1,0
2025-09-17,11:03,15000,카드,제철 반상,1,0
2025-09-17,11:11,26000,간편결제,보리굴비 정식,1,0
2025-09-17,11:25,26000,카드,보리굴비 정식,1,0
2025-09-17,12:46,6000,카드,계란말이 추가,1,0
2025-09-17,13:10,9000,카드,동치미 국수,1,0
2025-09-17,13:56,13000,간편결제,들기름 고등어 한상,1,0
2025-09-17,13:57,21000,카드,묵은지 김치찜,1,0
2025-09-17,17:00,13000,카드,들기름 고등어 한상,1,0
2025-09-17,17:36,15000,카드,제철 반상,1,0
2025-09-17,17:49,9000,간편결제,동치미 국수,1,0
2025-09-17,17:49,9000,카드,동치미 국수,1,0
